,texto,tokens
0,que gusto poder acompañarlos el día de hoy en representación de nuestro alcalde,"['que', 'gusto', 'poder', 'acompañarlos', 'el', 'día', 'de', 'hoy', 'en', 'representación', 'de', 'nuestro', 'alcalde']"
1,muchas gracias amigo sin tu apoyo esto no hubiera sido posible pablolemusn,"['muchas', 'gracias', 'amigo', 'sin', 'tu', 'apoyo', 'esto', 'no', 'hubiera', 'sido', 'posible', 'pablolemusn']"
2,76,['76']
3,se han realizado no menos de cuatro reportes sin tener respuesta ojalá que a través de ustedes podamos lograr que retiren este sanitario del jardín público ubicado en lázaro pérez entre rayón y escorza da muy mal aspecto gracias,"['se', 'han', 'realizado', 'no', 'menos', 'de', 'cuatro', 'reportes', 'sin', 'tener', 'respuesta', 'ojalá', 'que', 'a', 'través', 'de', 'ustedes', 'podamos', 'lograr', 'que', 'retiren', 'este', 'sanitario', 'del', 'jardín', 'público', 'ubicado', 'en', 'lázaro', 'pérez', 'entre', 'rayón', 'y', 'escorza', 'da', 'muy', 'mal', 'aspecto', 'gracias']"
4,te felicito amigo juanjosefrangie,"['te', 'felicito', 'amigo', 'juanjosefrangie']"
5,buen inicio de semana hoy por la mañana en representación de nuestro alcalde,"['buen', 'inicio', 'de', 'semana', 'hoy', 'por', 'la', 'mañana', 'en', 'representación', 'de', 'nuestro', 'alcalde']"
6,la empresa encuestadora,"['la', 'empresa', 'encuestadora']"
7,multen los exhibanlos marranos debería de vivir en un muladar myriamcarrilloe guadalajaragob,"['multen', 'los', 'exhibanlos', 'marranos', 'debería', 'de', 'vivir', 'en', 'un', 'muladar', 'myriamcarrilloe', 'guadalajaragob']"
8,publica,['publica']
9,así se encuentra la esquina de rio pecos y rio danubio col atlas a pesar de que todos los días pasa el camión recolector los vecinos sin educación aprovechan con total impunidad para tirar literal su basura que se puede hacer,"['así', 'se', 'encuentra', 'la', 'esquina', 'de', 'rio', 'pecos', 'y', 'rio', 'danubio', 'col', 'atlas', 'a', 'pesar', 'de', 'que', 'todos', 'los', 'días', 'pasa', 'el', 'camión', 'recolector', 'los', 'vecinos', 'sin', 'educación', 'aprovechan', 'con', 'total', 'impunidad', 'para', 'tirar', 'literal', 'su', 'basura', 'que', 'se', 'puede', 'hacer']"
