,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
0,me siento profundamente orgulloso de ser parte de un movimiento político que promueve la honestidad porque soy un hombre honesto que trabaja incansablemente por el bienestar de la gente gracias por su confianza y su apoyo para poder defender el proyecto de la  cuartatransformación en jalisco   ,"['siento', 'profundamente', 'orgulloso', 'parte', 'movimiento', 'político', 'promueve', 'honestidad', 'hombre', 'honesto', 'trabaja', 'incansablemente', 'bienestar', 'gente', 'gracias', 'confianza', 'apoyo', 'poder', 'defender', 'proyecto', 'cuartatransformación', 'jalisco']","['sentir', 'profundamente', 'orgulloso', 'movimiento', 'político', 'promover', 'honestidad', 'hombre', 'honesto', 'trabajar', 'incansablemente', 'bienestar', 'gente', 'gracias', 'confianza', 'apoyo', 'defender', 'proyecto', 'cuartatransformación', 'jalisco']","[('me', 'siento'), ('siento', 'profundamente'), ('profundamente', 'orgulloso'), ('orgulloso', 'de'), ('de', 'ser'), ('ser', 'parte'), ('parte', 'de'), ('de', 'un'), ('un', 'movimiento'), ('movimiento', 'político'), ('político', 'que'), ('que', 'promueve'), ('promueve', 'la'), ('la', 'honestidad'), ('honestidad', 'porque'), ('porque', 'soy'), ('soy', 'un'), ('un', 'hombre'), ('hombre', 'honesto'), ('honesto', 'que'), ('que', 'trabaja'), ('trabaja', 'incansablemente'), ('incansablemente', 'por'), ('por', 'el'), ('el', 'bienestar'), ('bienestar', 'de'), ('de', 'la'), ('la', 'gente'), ('gente', 'gracias'), ('gracias', 'por'), ('por', 'su'), ('su', 'confianza'), ('confianza', 'y'), ('y', 'su'), ('su', 'apoyo'), ('apoyo', 'para'), ('para', 'poder'), ('poder', 'defender'), ('defender', 'el'), ('el', 'proyecto'), ('proyecto', 'de'), ('de', 'la'), ('la', ' '), (' ', 'cuartatransformación'), ('cuartatransformación', 'en'), ('en', 'jalisco'), ('jalisco', '  ')]",yo sentir profundamente orgulloso de ser parte de uno movimiento político que promover el honestidad porque ser uno hombre honesto que trabajar incansablemente por el bienestar de el gente gracias por su confianza y su apoyo para poder defender el proyecto de el   cuartatransformación en jalisco   ,3.368453177920162e-09
1,mi compromiso es estar cerca de ustedes cada foto representa una historia un momento compartido cada apretón de manos cada sonrisa es una razón más que me impulsa a seguir en este camino esto lo logramos juntas y juntos,"['compromiso', 'cerca', 'ustedes', 'cada', 'foto', 'representa', 'historia', 'momento', 'compartido', 'cada', 'apretón', 'manos', 'cada', 'sonrisa', 'razón', 'impulsa', 'seguir', 'camino', 'logramos', 'juntas', 'juntos']","['compromiso', 'cerca', 'foto', 'representar', 'historia', 'momento', 'compartido', 'apretón', 'mano', 'sonrisa', 'razón', 'impulsar', 'seguir', 'camino', 'lograr', 'junto', 'junto']","[('mi', 'compromiso'), ('compromiso', 'es'), ('es', 'estar'), ('estar', 'cerca'), ('cerca', 'de'), ('de', 'ustedes'), ('ustedes', 'cada'), ('cada', 'foto'), ('foto', 'representa'), ('representa', 'una'), ('una', 'historia'), ('historia', 'un'), ('un', 'momento'), ('momento', 'compartido'), ('compartido', 'cada'), ('cada', 'apretón'), ('apretón', 'de'), ('de', 'manos'), ('manos', 'cada'), ('cada', 'sonrisa'), ('sonrisa', 'es'), ('es', 'una'), ('una', 'razón'), ('razón', 'más'), ('más', 'que'), ('que', 'me'), ('me', 'impulsa'), ('impulsa', 'a'), ('a', 'seguir'), ('seguir', 'en'), ('en', 'este'), ('este', 'camino'), ('camino', 'esto'), ('esto', 'lo'), ('lo', 'logramos'), ('logramos', 'juntas'), ('juntas', 'y'), ('y', 'juntos')]",mi compromiso ser estar cerca de tú cada foto representar uno historia uno momento compartido cada apretón de mano cada sonrisa ser uno razón más que yo impulsar a seguir en este camino este él lograr junto y junto,0.0005654922406573106
2,me considero un líder capaz comprometido y valiente alguien que conoce de cerca los desafíos que enfrentamos alguien que no retrocede ante las dificultades por el contrario las encaro con determinación porque el cariño de ustedes son el motor que me impulsa a seguir adelante la unión hace la fuerza,"['considero', 'líder', 'capaz', 'comprometido', 'valiente', 'alguien', 'conoce', 'cerca', 'desafíos', 'enfrentamos', 'alguien', 'retrocede', 'dificultades', 'contrario', 'encaro', 'determinación', 'cariño', 'ustedes', 'motor', 'impulsa', 'seguir', 'adelante', 'unión', 'hace', 'fuerza']","['considerar', 'líder', 'capaz', 'comprometido', 'valiente', 'alguien', 'conocer', 'cerca', 'desafío', 'enfrentar', 'alguien', 'retroceder', 'dificultad', 'contrario', 'encaro', 'determinación', 'cariño', 'motor', 'impulsar', 'seguir', 'unión', 'fuerza']","[('me', 'considero'), ('considero', 'un'), ('un', 'líder'), ('líder', 'capaz'), ('capaz', 'comprometido'), ('comprometido', 'y'), ('y', 'valiente'), ('valiente', 'alguien'), ('alguien', 'que'), ('que', 'conoce'), ('conoce', 'de'), ('de', 'cerca'), ('cerca', 'los'), ('los', 'desafíos'), ('desafíos', 'que'), ('que', 'enfrentamos'), ('enfrentamos', 'alguien'), ('alguien', 'que'), ('que', 'no'), ('no', 'retrocede'), ('retrocede', 'ante'), ('ante', 'las'), ('las', 'dificultades'), ('dificultades', 'por'), ('por', 'el'), ('el', 'contrario'), ('contrario', 'las'), ('las', 'encaro'), ('encaro', 'con'), ('con', 'determinación'), ('determinación', 'porque'), ('porque', 'el'), ('el', 'cariño'), ('cariño', 'de'), ('de', 'ustedes'), ('ustedes', 'son'), ('son', 'el'), ('el', 'motor'), ('motor', 'que'), ('que', 'me'), ('me', 'impulsa'), ('impulsa', 'a'), ('a', 'seguir'), ('seguir', 'adelante'), ('adelante', 'la'), ('la', 'unión'), ('unión', 'hace'), ('hace', 'la'), ('la', 'fuerza')]",yo considerar uno líder capaz comprometido y valiente alguien que conocer de cerca el desafío que enfrentar alguien que no retroceder ante el dificultad por el contrario el encaro con determinación porque el cariño de tú ser el motor que yo impulsar a seguir adelante el unión hacer el fuerza,2.9922588159418584e-09
3,agradezco infinitamente el apoyo de quienes como yo anhelan que la 4t llegue a jalisco vamos juntas y juntos en este sueño,"['agradezco', 'infinitamente', 'apoyo', 'anhelan', 'llegue', 'jalisco', 'vamos', 'juntas', 'juntos', 'sueño']","['agradecer', 'infinitamente', 'apoyo', 'anhelar', 't', 'llegar', 'jalisco', 'junto', 'junto', 'sueño']","[('agradezco', 'infinitamente'), ('infinitamente', 'el'), ('el', 'apoyo'), ('apoyo', 'de'), ('de', 'quienes'), ('quienes', 'como'), ('como', 'yo'), ('yo', 'anhelan'), ('anhelan', 'que'), ('que', 'la'), ('la', '4'), ('4', 't'), ('t', 'llegue'), ('llegue', 'a'), ('a', 'jalisco'), ('jalisco', 'vamos'), ('vamos', 'juntas'), ('juntas', 'y'), ('y', 'juntos'), ('juntos', 'en'), ('en', 'este'), ('este', 'sueño')]",agradecer infinitamente el apoyo de quien como yo anhelar que el 4 t llegar a jalisco ir junto y junto en este sueño,0.02298942410196575
4,han sido casi 20 años de lucha esfuerzo y dedicación somos tercos y para lograr una verdadera transformación se requiere carácter y valentía es un honor estar con ustedes y recibir tanto cariño esto lo hacemos juntos,"['sido', 'casi', 'años', 'lucha', 'esfuerzo', 'dedicación', 'tercos', 'lograr', 'verdadera', 'transformación', 'requiere', 'carácter', 'valentía', 'honor', 'ustedes', 'recibir', 'cariño', 'hacemos', 'juntos']","['año', 'lucha', 'esfuerzo', 'dedicación', 'terco', 'lograr', 'transformación', 'requerir', 'carácter', 'valentía', 'honor', 'recibir', 'cariño', 'junto']","[('han', 'sido'), ('sido', 'casi'), ('casi', '20'), ('20', 'años'), ('años', 'de'), ('de', 'lucha'), ('lucha', 'esfuerzo'), ('esfuerzo', 'y'), ('y', 'dedicación'), ('dedicación', 'somos'), ('somos', 'tercos'), ('tercos', 'y'), ('y', 'para'), ('para', 'lograr'), ('lograr', 'una'), ('una', 'verdadera'), ('verdadera', 'transformación'), ('transformación', 'se'), ('se', 'requiere'), ('requiere', 'carácter'), ('carácter', 'y'), ('y', 'valentía'), ('valentía', 'es'), ('es', 'un'), ('un', 'honor'), ('honor', 'estar'), ('estar', 'con'), ('con', 'ustedes'), ('ustedes', 'y'), ('y', 'recibir'), ('recibir', 'tanto'), ('tanto', 'cariño'), ('cariño', 'esto'), ('esto', 'lo'), ('lo', '\xa0'), ('\xa0', 'hacemos'), ('hacemos', '\xa0'), ('\xa0', 'juntos')]",haber ser casi 20 año de lucha esfuerzo y dedicación ser terco y para lograr uno verdadero transformación él requerir carácter y valentía ser uno honor estar con tú y recibir tanto cariño este él   hacer   junto,7.717889647936653e-05
5,mi único camino es la honestidad y el amor por nuestra gente,"['único', 'camino', 'honestidad', 'amor', 'gente']","['único', 'camino', 'honestidad', 'amor', 'gente']","[('mi', 'único'), ('único', 'camino'), ('camino', 'es'), ('es', 'la'), ('la', 'honestidad'), ('honestidad', 'y'), ('y', 'el'), ('el', 'amor'), ('amor', 'por'), ('por', 'nuestra'), ('nuestra', 'gente')]",mi único camino ser el honestidad y el amor por nuestro gente,0.08791895499152487
6,muchas felicidades al doc en su día médico de cuerpos y almas,"['muchas', 'felicidades', 'doc', 'médico', 'cuerpos', 'almas']","['felicidad', 'doc', 'médico', 'cuerpo', 'alma']","[('muchas', 'felicidades'), ('felicidades', 'al'), ('al', 'doc'), ('doc', 'en'), ('en', 'su'), ('su', 'día'), ('día', 'médico'), ('médico', 'de'), ('de', 'cuerpos'), ('cuerpos', 'y'), ('y', 'almas')]",mucho felicidad al doc en su día médico de cuerpo y alma,0.0952086338977144
7,para quienes tenemos esta vocación y dedicamos nuestra vida a esta hermosa profesión sabemos que ser médico va más allá de tener un título es un compromiso una promesa de cuidar la salud y el bienestar de las personas en este día del médico celebremos la valentía el compromiso y los valores humanos que cada médico aporta a la sociedad a todos mis colegas feliz día,"['vocación', 'dedicamos', 'vida', 'hermosa', 'profesión', 'sabemos', 'médico', 'allá', 'tener', 'título', 'compromiso', 'promesa', 'cuidar', 'salud', 'bienestar', 'personas', 'médico', 'celebremos', 'valentía', 'compromiso', 'valores', 'humanos', 'cada', 'médico', 'aporta', 'sociedad', 'colegas', 'feliz']","['vocación', 'dedicar', 'vida', 'hermoso', 'profesión', 'médico', 'allá', 'título', 'compromiso', 'promesa', 'cuidar', 'salud', 'bienestar', 'persona', 'médico', 'celebrar', 'valentía', 'compromiso', 'valor', 'humano', 'médico', 'aportar', 'sociedad', 'colega', 'feliz']","[('para', 'quienes'), ('quienes', 'tenemos'), ('tenemos', 'esta'), ('esta', 'vocación'), ('vocación', 'y'), ('y', 'dedicamos'), ('dedicamos', 'nuestra'), ('nuestra', 'vida'), ('vida', 'a'), ('a', 'esta'), ('esta', 'hermosa'), ('hermosa', 'profesión'), ('profesión', 'sabemos'), ('sabemos', 'que'), ('que', 'ser'), ('ser', 'médico'), ('médico', 'va'), ('va', 'más'), ('más', 'allá'), ('allá', 'de'), ('de', 'tener'), ('tener', 'un'), ('un', 'título'), ('título', 'es'), ('es', 'un'), ('un', 'compromiso'), ('compromiso', 'una'), ('una', 'promesa'), ('promesa', 'de'), ('de', 'cuidar'), ('cuidar', 'la'), ('la', 'salud'), ('salud', 'y'), ('y', 'el'), ('el', 'bienestar'), ('bienestar', 'de'), ('de', 'las'), ('las', 'personas'), ('personas', 'en'), ('en', 'este'), ('este', 'día'), ('día', 'del'), ('del', 'médico'), ('médico', 'celebremos'), ('celebremos', 'la'), ('la', 'valentía'), ('valentía', 'el'), ('el', 'compromiso'), ('compromiso', 'y'), ('y', 'los'), ('los', 'valores'), ('valores', 'humanos'), ('humanos', 'que'), ('que', 'cada'), ('cada', 'médico'), ('médico', 'aporta'), ('aporta', 'a'), ('a', 'la'), ('la', 'sociedad'), ('sociedad', 'a'), ('a', 'todos'), ('todos', 'mis'), ('mis', 'colegas'), ('colegas', 'feliz'), ('feliz', 'día')]",para quien tener este vocación y dedicar nuestro vida a este hermoso profesión saber que ser médico ir más allá de tener uno título ser uno compromiso uno promesa de cuidar el salud y el bienestar de el persona en este día del médico celebrar el valentía el compromiso y el valor humano que cada médico aportar a el sociedad a todo mi colega feliz día,1.3385362530120303e-05
8,nada más jalisciense que una buena birria de la barca  panza llena corazón contento para seguir recorriendo nuestro estado,"['jalisciense', 'buena', 'birria', 'barca', 'panza', 'llena', 'corazón', 'contento', 'seguir', 'recorriendo']","['jalisciense', 'birria', 'barca', 'panza', 'lleno', 'corazón', 'contento', 'seguir', 'recorrer']","[('nada', 'más'), ('más', 'jalisciense'), ('jalisciense', 'que'), ('que', 'una'), ('una', 'buena'), ('buena', 'birria'), ('birria', 'de'), ('de', 'la'), ('la', 'barca'), ('barca', ' '), (' ', 'panza'), ('panza', 'llena'), ('llena', 'corazón'), ('corazón', 'contento'), ('contento', 'para'), ('para', 'seguir'), ('seguir', 'recorriendo'), ('recorriendo', 'nuestro'), ('nuestro', 'estado')]",nada más jalisciense que uno buen birria de el barca   panza lleno corazón contento para seguir recorrer nuestro estado,0.011662143279132493
9,llevo 20 años caminando los senderos de jalisco y cada día estoy más orgulloso de ser de aquí,"['llevo', 'años', 'caminando', 'senderos', 'jalisco', 'cada', 'orgulloso']","['llevar', 'año', 'caminar', 'sendero', 'jalisco', 'orgulloso']","[('llevo', '20'), ('20', 'años'), ('años', 'caminando'), ('caminando', 'los'), ('los', 'senderos'), ('senderos', 'de'), ('de', 'jalisco'), ('jalisco', 'y'), ('y', 'cada'), ('cada', 'día'), ('día', 'estoy'), ('estoy', 'más'), ('más', 'orgulloso'), ('orgulloso', 'de'), ('de', 'ser'), ('ser', 'de'), ('de', 'aquí')]",llevar 20 año caminar el sendero de jalisco y cada día estar más orgulloso de ser de aquí,0.021067584963722855
