,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
0, jalisco2024,[],[],"[(' ', 'jalisco2024')]",  jalisco2024,0.49789225920557484
1,empoderemos a las mujeres en jalisco con un aliado el dr carlos lomelí  jalisco,"['empoderemos', 'mujeres', 'aliado', 'carlos', 'lomelí']","['empoderer', 'mujer', 'jalisco', 'aliado', 'dr', 'carlos', 'lomelí', 'jalisco']","[('empoderemos', 'a'), ('a', 'las'), ('las', 'mujeres'), ('mujeres', 'en'), ('en', 'jalisco'), ('jalisco', 'con'), ('con', 'un'), ('un', 'aliado'), ('aliado', 'el'), ('el', 'dr'), ('dr', 'carlos'), ('carlos', 'lomelí'), ('lomelí', ' '), (' ', 'jalisco')]",empoderer a el mujer en jalisco con uno aliado el dr carlos lomelí   jalisco,0.3069547272515054
2,el doc carloslomeli,['carloslomeli'],"['doc', 'carloslomeli']","[('el', 'doc'), ('doc', 'carloslomeli')]",el doc carloslomeli,0.5136446707795853
3,mi hermoso colima colima,"['hermoso', 'colima', 'colima']","['hermoso', 'colimo', 'colimo']","[('mi', 'hermoso'), ('hermoso', 'colima'), ('colima', 'colima')]",mi hermoso colimo colimo,0.8154719109213224
4,no se haga doc morena,['haga'],"['hacer', 'doc', 'morena']","[('no', 'se'), ('se', 'haga'), ('haga', 'doc'), ('doc', 'morena')]",no él hacer doc morena,0.028742211744513562
5,quienes crees que ganen la candidatura a gobernador de predicción,"['crees', 'ganen', 'candidatura', 'gobernador', 'predicción']","['crees', 'ganar', 'candidatura', 'gobernador', 'predicción']","[('quienes', 'crees'), ('crees', 'que'), ('que', 'ganen'), ('ganen', 'la'), ('la', 'candidatura'), ('candidatura', 'a'), ('a', 'gobernador'), ('gobernador', 'de'), ('de', 'predicción')]",quien crees que ganar el candidatura a gobernador de predicción,0.2541726641076113
6,está tirado en la hamaca en movimientociudadano,"['tirado', 'hamaca', 'movimientociudadano']","['tirado', 'hamaca', 'movimientociudadano']","[('está', 'tirado'), ('tirado', 'en'), ('en', 'la'), ('la', 'hamaca'), ('hamaca', 'en'), ('en', 'movimientociudadano')]",estar tirado en el hamaca en movimientociudadano,0.6235552725318039
8,no siempre se puede pues morenajalisco,"['siempre', 'puede', 'pues', 'morenajalisco']",['morenajaliscir'],"[('no', 'siempre'), ('siempre', 'se'), ('se', 'puede'), ('puede', 'pues'), ('pues', 'morenajalisco')]",no siempre él poder pues morenajaliscir,0.07199990933741995
11,niega dr carlos lomelí,"['niega', 'carlos', 'lomelí']","['negar', 'dr', 'carlos', 'lomelí']","[('niega', 'dr'), ('dr', '\u2002'), ('\u2002', 'carlos'), ('carlos', '\u2002'), ('\u2002', 'lomelí')]",negar dr   carlos   lomelí,0.49789225920557484
14,no sólo será enfrentar a morena y amlo también al poder económico que han atesorado estos personajes xóchitl gálvez habla sobre los contratos de carlos lomelí en cdmx latinus,"['sólo', 'enfrentar', 'amlo', 'poder', 'económico', 'atesorado', 'personajes', 'xóchitl', 'gálvez', 'habla', 'contratos', 'carlos', 'lomelí', 'cdmx', 'latinus']","['enfrentar', 'morena', 'amlo', 'económico', 'atesorar', 'personaje', 'xóchitl', 'gálvez', 'contrato', 'carlos', 'lomelí', 'cdmx', 'latinu']","[('no', 'sólo'), ('sólo', 'será'), ('será', 'enfrentar'), ('enfrentar', 'a'), ('a', 'morena'), ('morena', 'y'), ('y', 'amlo'), ('amlo', 'también'), ('también', 'al'), ('al', 'poder'), ('poder', 'económico'), ('económico', 'que'), ('que', 'han'), ('han', 'atesorado'), ('atesorado', 'estos'), ('estos', 'personajes'), ('personajes', 'xóchitl'), ('xóchitl', 'gálvez'), ('gálvez', 'habla'), ('habla', 'sobre'), ('sobre', 'los'), ('los', 'contratos'), ('contratos', 'de'), ('de', 'carlos'), ('carlos', 'lomelí'), ('lomelí', 'en'), ('en', 'cdmx'), ('cdmx', 'latinus')]",no sólo ser enfrentar a morena y amlo también al poder económico que haber atesorar este personaje xóchitl gálvez hablar sobre el contrato de carlos lomelí en cdmx latinu,6.559452751883119e-06
