,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
2,para ganarse el respeto y la confianza de las personas hay que trabajar con honestidad e integridadagradezco profundamente a todos los que me acompañan en esta ardua labor les deseo un excelente inicio de semana a todas y todos,"['ganarse', 'respeto', 'confianza', 'personas', 'trabajar', 'honestidad', 'integridadagradezco', 'profundamente', 'acompañan', 'ardua', 'labor', 'deseo', 'excelente', 'inicio', 'semana', 'todas']","['ganar él', 'respeto', 'confianza', 'persona', 'trabajar', 'honestidad', 'integridadagradezco', 'profundamente', 'acompañar', 'ardua', 'labor', 'desear', 'excelente', 'inicio', 'semana']","[('para', 'ganarse'), ('ganarse', 'el'), ('el', 'respeto'), ('respeto', 'y'), ('y', 'la'), ('la', 'confianza'), ('confianza', 'de'), ('de', 'las'), ('las', 'personas'), ('personas', 'hay'), ('hay', 'que'), ('que', 'trabajar'), ('trabajar', 'con'), ('con', 'honestidad'), ('honestidad', 'e'), ('e', 'integridadagradezco'), ('integridadagradezco', 'profundamente'), ('profundamente', 'a'), ('a', 'todos'), ('todos', 'los'), ('los', 'que'), ('que', 'me'), ('me', 'acompañan'), ('acompañan', 'en'), ('en', 'esta'), ('esta', 'ardua'), ('ardua', 'labor'), ('labor', 'les'), ('les', 'deseo'), ('deseo', 'un'), ('un', 'excelente'), ('excelente', 'inicio'), ('inicio', 'de'), ('de', 'semana'), ('semana', 'a'), ('a', 'todas'), ('todas', 'y'), ('y', 'todos')]",para ganar él el respeto y el confianza de el persona haber que trabajar con honestidad e integridadagradezco profundamente a todo el que yo acompañar en este ardua labor él desear uno excelente inicio de semana a todo y todo,0.02139741020808396
6,en tepa y todos los altos hay gente trabajadora buena y dedicada que con o sin apoyo han sabido construir una de las regiones más fértiles y productivas de méxico y de toda américa gracias por recibirme este domingo,"['tepa', 'altos', 'gente', 'trabajadora', 'buena', 'dedicada', 'apoyo', 'sabido', 'construir', 'regiones', 'fértiles', 'productivas', 'méxico', 'toda', 'américa', 'gracias', 'recibirme', 'domingo']","['tepa', 'alto', 'gente', 'trabajador', 'dedicado', 'apoyo', 'saber', 'construir', 'región', 'fértil', 'productivo', 'méxico', 'américa', 'gracia', 'recibir yo', 'domingo']","[('en', 'tepa'), ('tepa', 'y'), ('y', 'todos'), ('todos', 'los'), ('los', 'altos'), ('altos', 'hay'), ('hay', 'gente'), ('gente', 'trabajadora'), ('trabajadora', 'buena'), ('buena', 'y'), ('y', 'dedicada'), ('dedicada', 'que'), ('que', 'con'), ('con', 'o'), ('o', 'sin'), ('sin', 'apoyo'), ('apoyo', 'han'), ('han', 'sabido'), ('sabido', 'construir'), ('construir', 'una'), ('una', 'de'), ('de', 'las'), ('las', 'regiones'), ('regiones', 'más'), ('más', 'fértiles'), ('fértiles', 'y'), ('y', 'productivas'), ('productivas', 'de'), ('de', 'méxico'), ('méxico', 'y'), ('y', 'de'), ('de', 'toda'), ('toda', 'américa'), ('américa', 'gracias'), ('gracias', 'por'), ('por', 'recibirme'), ('recibirme', 'este'), ('este', 'domingo')]",en tepa y todo el alto haber gente trabajador buen y dedicado que con o sin apoyo haber saber construir uno de el región más fértil y productivo de méxico y de todo américa gracia por recibir yo este domingo,0.0016864728771875167
8,carlosdelvallemx,['carlosdelvallemx'],['carlosdelvallemx'],[],carlosdelvallemx,0.49789225920557484
9,conocer de cerca a la gente y sus historias me motiva y me llena de vida es un privilegio estar y compartir con ustedes gracias por inspirarme todos los días,"['conocer', 'cerca', 'gente', 'historias', 'motiva', 'llena', 'vida', 'privilegio', 'compartir', 'ustedes', 'gracias', 'inspirarme', 'días']","['cerca', 'gente', 'historia', 'motivar', 'llenar', 'vida', 'privilegio', 'compartir', 'gracia', 'inspirarmir']","[('conocer', 'de'), ('de', 'cerca'), ('cerca', 'a'), ('a', 'la'), ('la', 'gente'), ('gente', 'y'), ('y', 'sus'), ('sus', 'historias'), ('historias', 'me'), ('me', 'motiva'), ('motiva', 'y'), ('y', 'me'), ('me', 'llena'), ('llena', 'de'), ('de', 'vida'), ('vida', 'es'), ('es', 'un'), ('un', 'privilegio'), ('privilegio', 'estar'), ('estar', 'y'), ('y', 'compartir'), ('compartir', 'con'), ('con', 'ustedes'), ('ustedes', 'gracias'), ('gracias', 'por'), ('por', 'inspirarme'), ('inspirarme', 'todos'), ('todos', 'los'), ('los', 'días')]",conocer de cerca a el gente y su historia yo motivar y yo llenar de vida ser uno privilegio estar y compartir con tú gracia por inspirarmir todo el día,0.0018562509325883122
12,si ustedes están conmigo quién puede contra nosotros,"['ustedes', 'conmigo', 'quién', 'puede']",[],"[('si', 'ustedes'), ('ustedes', 'están'), ('están', 'conmigo'), ('conmigo', 'quién'), ('quién', 'puede'), ('puede', 'contra'), ('contra', 'nosotros')]",si tú estar yo quién poder contra yo,0.06963267538823151
14,carlosdelvallemx,['carlosdelvallemx'],['carlosdelvallemx'],[],carlosdelvallemx,0.49789225920557484
15,unidos por la transformación comprometidos con la 4t en jalisco la unidad se fundamenta en los principios de morena la organización la movilización y la suma de todas las voluntadescon nuestras causas y morena por encima de todo somos invencibles en jaliscocreemos en un méxico y un jalisco más justo y equitativo,"['unidos', 'transformación', 'comprometidos', 'jalisco', 'unidad', 'fundamenta', 'principios', 'morena', 'organización', 'movilización', 'suma', 'todas', 'voluntadescon', 'causas', 'morena', 'encima', 'invencibles', 'jaliscocreemos', 'méxico', 'jalisco', 'justo', 'equitativo']","['unido', 'transformación', 'comprometido', 't', 'jalisco', 'unidad', 'fundamentar', 'principio', 'morena', 'organización', 'movilización', 'suma', 'voluntadescon', 'causa', 'morén', 'invencible', 'jaliscocreemos', 'méxico', 'jalisco', 'justo', 'equitativo']","[('unidos', 'por'), ('por', 'la'), ('la', 'transformación'), ('transformación', 'comprometidos'), ('comprometidos', 'con'), ('con', 'la'), ('la', '4'), ('4', 't'), ('t', 'en'), ('en', 'jalisco'), ('jalisco', 'la'), ('la', 'unidad'), ('unidad', 'se'), ('se', 'fundamenta'), ('fundamenta', 'en'), ('en', 'los'), ('los', 'principios'), ('principios', 'de'), ('de', 'morena'), ('morena', 'la'), ('la', 'organización'), ('organización', 'la'), ('la', 'movilización'), ('movilización', 'y'), ('y', 'la'), ('la', 'suma'), ('suma', 'de'), ('de', 'todas'), ('todas', 'las'), ('las', 'voluntadescon'), ('voluntadescon', 'nuestras'), ('nuestras', 'causas'), ('causas', 'y'), ('y', 'morena'), ('morena', 'por'), ('por', 'encima'), ('encima', 'de'), ('de', 'todo'), ('todo', 'somos'), ('somos', 'invencibles'), ('invencibles', 'en'), ('en', 'jaliscocreemos'), ('jaliscocreemos', 'en'), ('en', 'un'), ('un', 'méxico'), ('méxico', 'y'), ('y', 'un'), ('un', 'jalisco'), ('jalisco', 'más'), ('más', 'justo'), ('justo', 'y'), ('y', 'equitativo')]",unido por el transformación comprometido con el 4 t en jalisco el unidad él fundamentar en el principio de morena el organización el movilización y el suma de todo el voluntadescon nuestro causa y morén por encima de todo ser invencible en jaliscocreemos en uno méxico y uno jalisco más justo y equitativo,0.2856385508636069
18,hoy celebramos 98 años de la refundación de la universidad de guadalajara  mi alma máter aquí me forjé como médico y aún más importante descubrí el valor de la solidaridad y el compromiso de trabajar por el bienestar de mi gentela udeg es mucho más que una institución académica es una conquista que garantiza el derecho a la educación para quienes como yo somos hijos del pueblo un faro de conocimiento y un orgullo para jalisco y el país feliz aniversario universidad de guadalajara,"['celebramos', 'años', 'refundación', 'universidad', 'guadalajara', 'alma', 'máter', 'forjé', 'médico', 'aún', 'importante', 'descubrí', 'valor', 'solidaridad', 'compromiso', 'trabajar', 'bienestar', 'gentela', 'udeg', 'institución', 'académica', 'conquista', 'garantiza', 'derecho', 'educación', 'hijos', 'pueblo', 'faro', 'conocimiento', 'orgullo', 'jalisco', 'país', 'feliz', 'aniversario', 'universidad', 'guadalajara']","['celebrir', 'año', 'refundación', 'universidad', 'guadalajara', 'alma', 'máter', 'forjé', 'médico', 'importante', 'descubrí', 'valor', 'solidaridad', 'compromiso', 'trabajar', 'bienestar', 'gentela', 'udeg', 'institución', 'académico', 'conquista', 'garantizar', 'derecho', 'educación', 'hijo', 'pueblo', 'faro', 'conocimiento', 'orgullo', 'jalisco', 'país', 'feliz', 'aniversario', 'universidad', 'guadalajara']","[('hoy', 'celebramos'), ('celebramos', '98'), ('98', 'años'), ('años', 'de'), ('de', 'la'), ('la', 'refundación'), ('refundación', 'de'), ('de', 'la'), ('la', 'universidad'), ('universidad', 'de'), ('de', 'guadalajara'), ('guadalajara', ' '), (' ', 'mi'), ('mi', 'alma'), ('alma', 'máter'), ('máter', 'aquí'), ('aquí', 'me'), ('me', 'forjé'), ('forjé', 'como'), ('como', 'médico'), ('médico', 'y'), ('y', 'aún'), ('aún', 'más'), ('más', 'importante'), ('importante', 'descubrí'), ('descubrí', 'el'), ('el', 'valor'), ('valor', 'de'), ('de', 'la'), ('la', 'solidaridad'), ('solidaridad', 'y'), ('y', 'el'), ('el', 'compromiso'), ('compromiso', 'de'), ('de', 'trabajar'), ('trabajar', 'por'), ('por', 'el'), ('el', 'bienestar'), ('bienestar', 'de'), ('de', 'mi'), ('mi', 'gentela'), ('gentela', 'udeg'), ('udeg', 'es'), ('es', 'mucho'), ('mucho', 'más'), ('más', 'que'), ('que', 'una'), ('una', 'institución'), ('institución', 'académica'), ('académica', 'es'), ('es', 'una'), ('una', 'conquista'), ('conquista', 'que'), ('que', 'garantiza'), ('garantiza', 'el'), ('el', 'derecho'), ('derecho', 'a'), ('a', 'la'), ('la', 'educación'), ('educación', 'para'), ('para', 'quienes'), ('quienes', 'como'), ('como', 'yo'), ('yo', 'somos'), ('somos', 'hijos'), ('hijos', 'del'), ('del', 'pueblo'), ('pueblo', 'un'), ('un', 'faro'), ('faro', 'de'), ('de', 'conocimiento'), ('conocimiento', 'y'), ('y', 'un'), ('un', 'orgullo'), ('orgullo', 'para'), ('para', 'jalisco'), ('jalisco', 'y'), ('y', 'el'), ('el', 'país'), ('país', 'feliz'), ('feliz', 'aniversario'), ('aniversario', 'universidad'), ('universidad', 'de'), ('de', 'guadalajara')]",hoy celebrir 98 año de el refundación de el universidad de guadalajara   mi alma máter aquí yo forjé como médico y aún más importante descubrí el valor de el solidaridad y el compromiso de trabajar por el bienestar de mi gentela udeg ser mucho más que uno institución académico ser uno conquista que garantizar el derecho a el educación para quien como yo ser hijo del pueblo uno faro de conocimiento y uno orgullo para jalisco y el país feliz aniversario universidad de guadalajara,1.649309441598922e-08
21,gracias a quienes confían en mí seguiré trabajando para estar a la altura de sus esperanzas juntas y juntos somos imparables,"['gracias', 'confían', 'seguiré', 'trabajando', 'altura', 'esperanzas', 'juntas', 'juntos', 'imparables']","['gracias', 'confiar', 'seguir', 'trabajar', 'altura', 'esperanza', 'junto', 'junto', 'imparable']","[('gracias', 'a'), ('a', 'quienes'), ('quienes', 'confían'), ('confían', 'en'), ('en', 'mí'), ('mí', 'seguiré'), ('seguiré', 'trabajando'), ('trabajando', 'para'), ('para', 'estar'), ('estar', 'a'), ('a', 'la'), ('la', 'altura'), ('altura', 'de'), ('de', 'sus'), ('sus', 'esperanzas'), ('esperanzas', 'juntas'), ('juntas', 'y'), ('y', 'juntos'), ('juntos', 'somos'), ('somos', 'imparables')]",gracias a quien confiar en yo seguir trabajar para estar a el altura de su esperanza junto y junto ser imparable,0.0017543470867930277
24,quien cumple su palabra no tiene miedo del pasado ni del futuro,"['cumple', 'palabra', 'miedo', 'pasado', 'futuro']","['cumplir', 'palabra', 'miedo', 'futuro']","[('quien', 'cumple'), ('cumple', 'su'), ('su', 'palabra'), ('palabra', 'no'), ('no', 'tiene'), ('tiene', 'miedo'), ('miedo', 'del'), ('del', 'pasado'), ('pasado', 'ni'), ('ni', 'del'), ('del', 'futuro')]",quien cumplir su palabra no tener miedo del pasado ni del futuro,0.0003447841023097587
