,texto,tokens,texto_preprocesado,bigramas_spacy,texto_lematizado,polaridad
0,envivo conferencia de prensa 30 de octubre,"['envivo', 'conferencia', 'prensa', 'octubre']","['envivo', 'conferencia', 'prensa', 'octubre']","[('envivo', 'conferencia'), ('conferencia', 'de'), ('de', 'prensa'), ('prensa', '30'), ('30', 'de'), ('de', 'octubre')]",envivo conferencia de prensa 30 de octubre,0.4518942518364495
1,en todos estos años he tenido el privilegio de recorrer cada rincón de jalisco de conocer a su gente sus sueños y sus desafíos gracias al esfuerzo y compromiso que hemos tenido nos hemos ganado el cariño y la amistad de personas maravillosas gracias por su confianza,"['años', 'privilegio', 'recorrer', 'cada', 'rincón', 'jalisco', 'conocer', 'gente', 'sueños', 'desafíos', 'gracias', 'esfuerzo', 'compromiso', 'ganado', 'cariño', 'amistad', 'personas', 'maravillosas', 'gracias', 'confianza']","['año', 'privilegio', 'recorrer', 'rincón', 'jalisco', 'gente', 'sueño', 'desafío', 'gracias', 'esfuerzo', 'compromiso', 'ganar', 'cariño', 'amistad', 'persona', 'maravilloso', 'gracia', 'confianza']","[('en', 'todos'), ('todos', 'estos'), ('estos', 'años'), ('años', 'he'), ('he', 'tenido'), ('tenido', 'el'), ('el', 'privilegio'), ('privilegio', 'de'), ('de', 'recorrer'), ('recorrer', 'cada'), ('cada', 'rincón'), ('rincón', 'de'), ('de', 'jalisco'), ('jalisco', 'de'), ('de', 'conocer'), ('conocer', 'a'), ('a', 'su'), ('su', 'gente'), ('gente', 'sus'), ('sus', 'sueños'), ('sueños', 'y'), ('y', 'sus'), ('sus', 'desafíos'), ('desafíos', 'gracias'), ('gracias', 'al'), ('al', 'esfuerzo'), ('esfuerzo', 'y'), ('y', 'compromiso'), ('compromiso', 'que'), ('que', 'hemos'), ('hemos', 'tenido'), ('tenido', 'nos'), ('nos', 'hemos'), ('hemos', 'ganado'), ('ganado', 'el'), ('el', 'cariño'), ('cariño', 'y'), ('y', 'la'), ('la', 'amistad'), ('amistad', 'de'), ('de', 'personas'), ('personas', 'maravillosas'), ('maravillosas', 'gracias'), ('gracias', 'por'), ('por', 'su'), ('su', 'confianza')]",en todo este año haber tener el privilegio de recorrer cada rincón de jalisco de conocer a su gente su sueño y su desafío gracias al esfuerzo y compromiso que haber tener yo haber ganar el cariño y el amistad de persona maravilloso gracia por su confianza,3.275897382978101e-08
2,estoy inmensamente feliz de contar con la amistad de la dra claudia sheinbaum su capacidad y honestidad son un faro de esperanza para nuestra lucha,"['inmensamente', 'feliz', 'contar', 'amistad', 'claudia', 'sheinbaum', 'capacidad', 'honestidad', 'faro', 'esperanza', 'lucha']","['inmensamente', 'feliz', 'contar', 'amistad', 'dra', 'claudia', 'sheinbaum', 'capacidad', 'honestidad', 'faro', 'esperanza', 'lucha']","[('estoy', 'inmensamente'), ('inmensamente', 'feliz'), ('feliz', 'de'), ('de', 'contar'), ('contar', 'con'), ('con', 'la'), ('la', 'amistad'), ('amistad', 'de'), ('de', 'la'), ('la', 'dra'), ('dra', 'claudia'), ('claudia', 'sheinbaum'), ('sheinbaum', 'su'), ('su', 'capacidad'), ('capacidad', 'y'), ('y', 'honestidad'), ('honestidad', 'son'), ('son', 'un'), ('un', 'faro'), ('faro', 'de'), ('de', 'esperanza'), ('esperanza', 'para'), ('para', 'nuestra'), ('nuestra', 'lucha')]",estar inmensamente feliz de contar con el amistad de el dra claudia sheinbaum su capacidad y honestidad ser uno faro de esperanza para nuestro lucha,0.3113025409484051
3,"me siento profundamente orgulloso de ser parte de un movimiento político que promueve la honestidad porque soy un hombre honesto que trabaja incansablemente por el bienestar de la gente

gracias por su confianza y su apoyo para poder defender el proyecto de la cuartatransformación en jalisco","['siento', 'profundamente', 'orgulloso', 'parte', 'movimiento', 'político', 'promueve', 'honestidad', 'hombre', 'honesto', 'trabaja', 'incansablemente', 'bienestar', 'gente', 'gracias', 'confianza', 'apoyo', 'poder', 'defender', 'proyecto', 'cuartatransformación', 'jalisco']","['sentir', 'profundamente', 'orgulloso', 'movimiento', 'político', 'promover', 'honestidad', 'hombre', 'honesto', 'trabajar', 'incansablemente', 'bienestar', 'gente', 'gracia', 'confianza', 'apoyo', 'defender', 'proyecto', 'cuartatransformación', 'jalisco']","[('me', 'siento'), ('siento', 'profundamente'), ('profundamente', 'orgulloso'), ('orgulloso', 'de'), ('de', 'ser'), ('ser', 'parte'), ('parte', 'de'), ('de', 'un'), ('un', 'movimiento'), ('movimiento', 'político'), ('político', 'que'), ('que', 'promueve'), ('promueve', 'la'), ('la', 'honestidad'), ('honestidad', 'porque'), ('porque', 'soy'), ('soy', 'un'), ('un', 'hombre'), ('hombre', 'honesto'), ('honesto', 'que'), ('que', 'trabaja'), ('trabaja', 'incansablemente'), ('incansablemente', 'por'), ('por', 'el'), ('el', 'bienestar'), ('bienestar', 'de'), ('de', 'la'), ('la', 'gente'), ('gente', '\n\n'), ('\n\n', 'gracias'), ('gracias', 'por'), ('por', 'su'), ('su', 'confianza'), ('confianza', 'y'), ('y', 'su'), ('su', 'apoyo'), ('apoyo', 'para'), ('para', 'poder'), ('poder', 'defender'), ('defender', 'el'), ('el', 'proyecto'), ('proyecto', 'de'), ('de', 'la'), ('la', 'cuartatransformación'), ('cuartatransformación', 'en'), ('en', 'jalisco')]","yo sentir profundamente orgulloso de ser parte de uno movimiento político que promover el honestidad porque ser uno hombre honesto que trabajar incansablemente por el bienestar de el gente 

 gracia por su confianza y su apoyo para poder defender el proyecto de el cuartatransformación en jalisco",3.368453177920162e-09
4,mi compromiso es estar cerca de ustedes cada foto representa una historia un momento compartido cada apretón de manos cada sonrisa es una razón más que me impulsa a seguir en este camino esto lo logramos juntas y juntos,"['compromiso', 'cerca', 'ustedes', 'cada', 'foto', 'representa', 'historia', 'momento', 'compartido', 'cada', 'apretón', 'manos', 'cada', 'sonrisa', 'razón', 'impulsa', 'seguir', 'camino', 'logramos', 'juntas', 'juntos']","['compromiso', 'cerca', 'foto', 'representar', 'historia', 'momento', 'compartido', 'apretón', 'mano', 'sonrisa', 'razón', 'impulsar', 'seguir', 'camino', 'lograr', 'junto', 'junto']","[('mi', 'compromiso'), ('compromiso', 'es'), ('es', 'estar'), ('estar', 'cerca'), ('cerca', 'de'), ('de', 'ustedes'), ('ustedes', 'cada'), ('cada', 'foto'), ('foto', 'representa'), ('representa', 'una'), ('una', 'historia'), ('historia', 'un'), ('un', 'momento'), ('momento', 'compartido'), ('compartido', 'cada'), ('cada', 'apretón'), ('apretón', 'de'), ('de', 'manos'), ('manos', 'cada'), ('cada', 'sonrisa'), ('sonrisa', 'es'), ('es', 'una'), ('una', 'razón'), ('razón', 'más'), ('más', 'que'), ('que', 'me'), ('me', 'impulsa'), ('impulsa', 'a'), ('a', 'seguir'), ('seguir', 'en'), ('en', 'este'), ('este', 'camino'), ('camino', 'esto'), ('esto', 'lo'), ('lo', 'logramos'), ('logramos', 'juntas'), ('juntas', 'y'), ('y', 'juntos')]",mi compromiso ser estar cerca de tú cada foto representar uno historia uno momento compartido cada apretón de mano cada sonrisa ser uno razón más que yo impulsar a seguir en este camino este él lograr junto y junto,0.0005654922406573106
5,me considero un líder capaz comprometido y valiente alguien que conoce de cerca los desafíos que enfrentamos alguien que no retrocede ante las dificultades por el contrario las encaro con determinación porque el cariño de ustedes son el motor que me impulsa a seguir adelante la unión hace la fuerza,"['considero', 'líder', 'capaz', 'comprometido', 'valiente', 'alguien', 'conoce', 'cerca', 'desafíos', 'enfrentamos', 'alguien', 'retrocede', 'dificultades', 'contrario', 'encaro', 'determinación', 'cariño', 'ustedes', 'motor', 'impulsa', 'seguir', 'adelante', 'unión', 'hace', 'fuerza']","['considerar', 'líder', 'capaz', 'comprometido', 'valiente', 'alguien', 'conocer', 'cerca', 'desafío', 'enfrentar', 'alguien', 'retroceder', 'dificultad', 'contrario', 'encaro', 'determinación', 'cariño', 'motor', 'impulsar', 'seguir', 'unión', 'fuerza']","[('me', 'considero'), ('considero', 'un'), ('un', 'líder'), ('líder', 'capaz'), ('capaz', 'comprometido'), ('comprometido', 'y'), ('y', 'valiente'), ('valiente', 'alguien'), ('alguien', 'que'), ('que', 'conoce'), ('conoce', 'de'), ('de', 'cerca'), ('cerca', 'los'), ('los', 'desafíos'), ('desafíos', 'que'), ('que', 'enfrentamos'), ('enfrentamos', 'alguien'), ('alguien', 'que'), ('que', 'no'), ('no', 'retrocede'), ('retrocede', 'ante'), ('ante', 'las'), ('las', 'dificultades'), ('dificultades', 'por'), ('por', 'el'), ('el', 'contrario'), ('contrario', 'las'), ('las', 'encaro'), ('encaro', 'con'), ('con', 'determinación'), ('determinación', 'porque'), ('porque', 'el'), ('el', 'cariño'), ('cariño', 'de'), ('de', 'ustedes'), ('ustedes', 'son'), ('son', 'el'), ('el', 'motor'), ('motor', 'que'), ('que', 'me'), ('me', 'impulsa'), ('impulsa', 'a'), ('a', 'seguir'), ('seguir', 'adelante'), ('adelante', 'la'), ('la', 'unión'), ('unión', 'hace'), ('hace', 'la'), ('la', 'fuerza')]",yo considerar uno líder capaz comprometido y valiente alguien que conocer de cerca el desafío que enfrentar alguien que no retroceder ante el dificultad por el contrario el encaro con determinación porque el cariño de tú ser el motor que yo impulsar a seguir adelante el unión hacer el fuerza,2.9922588159418584e-09
6,agradezco infinitamente el apoyo de quienes como yo anhelan que la 4t llegue a jalisco vamos juntas y juntos en este sueño,"['agradezco', 'infinitamente', 'apoyo', 'anhelan', 'llegue', 'jalisco', 'vamos', 'juntas', 'juntos', 'sueño']","['agradecer', 'infinitamente', 'apoyo', 'anhelar', 't', 'llegar', 'jalisco', 'junto', 'junto', 'sueño']","[('agradezco', 'infinitamente'), ('infinitamente', 'el'), ('el', 'apoyo'), ('apoyo', 'de'), ('de', 'quienes'), ('quienes', 'como'), ('como', 'yo'), ('yo', 'anhelan'), ('anhelan', 'que'), ('que', 'la'), ('la', '4'), ('4', 't'), ('t', 'llegue'), ('llegue', 'a'), ('a', 'jalisco'), ('jalisco', 'vamos'), ('vamos', 'juntas'), ('juntas', 'y'), ('y', 'juntos'), ('juntos', 'en'), ('en', 'este'), ('este', 'sueño')]",agradecer infinitamente el apoyo de quien como yo anhelar que el 4 t llegar a jalisco ir junto y junto en este sueño,0.02298942410196575
7,"en el salto encontramos amistad confianza y apoyo para defender juntas y juntos la 4t en jalisco

gracias por estar a nuestro lado su confianza y cariño son nuestro motor hagamos historia en jalisco","['salto', 'encontramos', 'amistad', 'confianza', 'apoyo', 'defender', 'juntas', 'juntos', 'jalisco', 'gracias', 'lado', 'confianza', 'cariño', 'motor', 'hagamos', 'historia', 'jalisco']","['salto', 'encontrar', 'amistad', 'confianza', 'apoyo', 'defender', 'junto', 'junto', 't', 'jalisco', 'gracia', 'confianza', 'cariño', 'motor', 'hacer', 'historia', 'jalisco']","[('en', 'el'), ('el', 'salto'), ('salto', 'encontramos'), ('encontramos', 'amistad'), ('amistad', 'confianza'), ('confianza', 'y'), ('y', 'apoyo'), ('apoyo', 'para'), ('para', 'defender'), ('defender', 'juntas'), ('juntas', 'y'), ('y', 'juntos'), ('juntos', 'la'), ('la', '4'), ('4', 't'), ('t', 'en'), ('en', 'jalisco'), ('jalisco', '\n\n'), ('\n\n', 'gracias'), ('gracias', 'por'), ('por', 'estar'), ('estar', 'a'), ('a', 'nuestro'), ('nuestro', 'lado'), ('lado', 'su'), ('su', 'confianza'), ('confianza', 'y'), ('y', 'cariño'), ('cariño', 'son'), ('son', 'nuestro'), ('nuestro', 'motor'), ('motor', 'hagamos'), ('hagamos', 'historia'), ('historia', 'en'), ('en', 'jalisco')]","en el salto encontrar amistad confianza y apoyo para defender junto y junto el 4 t en jalisco 

 gracia por estar a nuestro lado su confianza y cariño ser nuestro motor hacer historia en jalisco",0.00708474255392141
8,"nuestra solidaridad está con las familias de acapulco en especial con quienes han perdido a un ser querido debido al huracán otis

en estos momentos difíciles la unidad y la ayuda son fundamentales tever más invitamos a contribuir y donar lo necesario en los centros de acopio del issste en guadalajara para apoyar a las personas afectadas en acapulco

entre todas y todos podemos marcar la diferencia y brindar el apoyo tan necesario","['solidaridad', 'familias', 'acapulco', 'especial', 'perdido', 'querido', 'debido', 'huracán', 'otis', 'momentos', 'difíciles', 'unidad', 'ayuda', 'fundamentales', 'tever', 'invitamos', 'contribuir', 'donar', 'necesario', 'centros', 'acopio', 'issste', 'guadalajara', 'apoyar', 'personas', 'afectadas', 'acapulco', 'todas', 'podemos', 'marcar', 'diferencia', 'brindar', 'apoyo', 'necesario']","['solidaridad', 'familia', 'acapulco', 'especial', 'perder', 'querer', 'huracán', 'otis', 'momento', 'difícil', 'unidad', 'ayuda', 'fundamental', 'tever', 'invitamos', 'contribuir', 'donar', 'necesario', 'centro', 'acopio', 'issste', 'guadalajara', 'apoyar', 'persona', 'afectado', 'acapulco', 'marcar', 'diferencia', 'brindar', 'apoyo', 'necesario']","[('nuestra', 'solidaridad'), ('solidaridad', 'está'), ('está', 'con'), ('con', 'las'), ('las', 'familias'), ('familias', 'de'), ('de', 'acapulco'), ('acapulco', 'en'), ('en', 'especial'), ('especial', 'con'), ('con', 'quienes'), ('quienes', 'han'), ('han', 'perdido'), ('perdido', 'a'), ('a', 'un'), ('un', 'ser'), ('ser', 'querido'), ('querido', 'debido'), ('debido', 'al'), ('al', 'huracán'), ('huracán', 'otis'), ('otis', '\n\n'), ('\n\n', 'en'), ('en', 'estos'), ('estos', 'momentos'), ('momentos', 'difíciles'), ('difíciles', 'la'), ('la', 'unidad'), ('unidad', 'y'), ('y', 'la'), ('la', 'ayuda'), ('ayuda', 'son'), ('son', 'fundamentales'), ('fundamentales', 'tever'), ('tever', 'más'), ('más', 'invitamos'), ('invitamos', 'a'), ('a', 'contribuir'), ('contribuir', 'y'), ('y', 'donar'), ('donar', 'lo'), ('lo', 'necesario'), ('necesario', 'en'), ('en', 'los'), ('los', 'centros'), ('centros', 'de'), ('de', 'acopio'), ('acopio', 'del'), ('del', 'issste'), ('issste', 'en'), ('en', 'guadalajara'), ('guadalajara', 'para'), ('para', 'apoyar'), ('apoyar', 'a'), ('a', 'las'), ('las', 'personas'), ('personas', 'afectadas'), ('afectadas', 'en'), ('en', 'acapulco'), ('acapulco', '\n\n'), ('\n\n', 'entre'), ('entre', 'todas'), ('todas', 'y'), ('y', 'todos'), ('todos', 'podemos'), ('podemos', 'marcar'), ('marcar', 'la'), ('la', 'diferencia'), ('diferencia', 'y'), ('y', 'brindar'), ('brindar', 'el'), ('el', 'apoyo'), ('apoyo', 'tan'), ('tan', 'necesario')]","nuestro solidaridad estar con el familia de acapulco en especial con quien haber perder a uno ser querer debido al huracán otis 

 en este momento difícil el unidad y el ayuda ser fundamental tever más invitamos a contribuir y donar él necesario en el centro de acopio del issste en guadalajara para apoyar a el persona afectado en acapulco 

 entre todo y todo poder marcar el diferencia y brindar el apoyo tanto necesario",0.025581305259750976
9,la honestidad me ha llevado a ganarme el respeto y cariño de las personas no tomo a la ligera sus palabras aquí lo que se promete se cumple,"['honestidad', 'llevado', 'ganarme', 'respeto', 'cariño', 'personas', 'tomo', 'ligera', 'palabras', 'promete', 'cumple']","['honestidad', 'llevar', 'ganar yo', 'respeto', 'cariño', 'persona', 'tomo', 'ligero', 'palabra', 'prometer', 'cumplir']","[('la', 'honestidad'), ('honestidad', 'me'), ('me', 'ha'), ('ha', 'llevado'), ('llevado', 'a'), ('a', 'ganarme'), ('ganarme', 'el'), ('el', 'respeto'), ('respeto', 'y'), ('y', 'cariño'), ('cariño', 'de'), ('de', 'las'), ('las', 'personas'), ('personas', 'no'), ('no', 'tomo'), ('tomo', 'a'), ('a', 'la'), ('la', 'ligera'), ('ligera', 'sus'), ('sus', 'palabras'), ('palabras', 'aquí'), ('aquí', 'lo'), ('lo', 'que'), ('que', 'se'), ('se', 'promete'), ('promete', 'se'), ('se', 'cumple')]",el honestidad yo haber llevar a ganar yo el respeto y cariño de el persona no tomo a el ligero su palabra aquí él que él prometer él cumplir,4.739841027567172e-07
