,usuario,texto,texto_limpio,tokens
0,Eduardo Grajales,Ers una política qué te falta humildad haces aparentar una persona muy sencilla,ers una poltica qu te falta humildad haces aparentar una persona muy sencilla,"['ers', 'una', 'poltica', 'qu', 'te', 'falta', 'humildad', 'haces', 'aparentar', 'una', 'persona', 'muy', 'sencilla']"
1,TanguyMoo,Se aprovechan de la gente ahora que están en campaña! Corrupta como todos los políticos incluyendo a morena! Lacra! 👎🏾,se aprovechan de la gente ahora que estn en campaa corrupta como todos los polticos incluyendo a morena lacra ,"['se', 'aprovechan', 'de', 'la', 'gente', 'ahora', 'que', 'estn', 'en', 'campaa', 'corrupta', 'como', 'todos', 'los', 'polticos', 'incluyendo', 'a', 'morena', 'lacra']"
2,user6986649228326,"SI ASÍ COMO HACEN TIK TOKS, TRABAJARAN",si as como hacen tik toks trabajaran,"['si', 'as', 'como', 'hacen', 'tik', 'toks', 'trabajaran']"
3,hectorlanda7777,"Y por eso les pagan una lanota servidores públicos, que paupérrimo nivel",y por eso les pagan una lanota servidores pblicos que pauprrimo nivel,"['y', 'por', 'eso', 'les', 'pagan', 'una', 'lanota', 'servidores', 'pblicos', 'que', 'pauprrimo', 'nivel']"
4,JESUS DIAZ,como político das mucho que desear,como poltico das mucho que desear,"['como', 'poltico', 'das', 'mucho', 'que', 'desear']"
5,edmundodantésL.,digna representante del gremio de ratas de Manuel velasco.,digna representante del gremio de ratas de manuel velasco,"['digna', 'representante', 'del', 'gremio', 'de', 'ratas', 'de', 'manuel', 'velasco']"
6,pepereyes22,"ridiculo hace con sus disque mujeres autóctonas, claro se ve que son cercanas de ella, ni los rasgos",ridiculo hace con sus disque mujeres autctonas claro se ve que son cercanas de ella ni los rasgos,"['ridiculo', 'hace', 'con', 'sus', 'disque', 'mujeres', 'autctonas', 'claro', 'se', 've', 'que', 'son', 'cercanas', 'de', 'ella', 'ni', 'los', 'rasgos']"
7,user35513593493,"corrupta veracruzana , esta feliz del saqueo que ha realizado al erario publico de Chiapas",corrupta veracruzana  esta feliz del saqueo que ha realizado al erario publico de chiapas,"['corrupta', 'veracruzana', 'esta', 'feliz', 'del', 'saqueo', 'que', 'ha', 'realizado', 'al', 'erario', 'publico', 'de', 'chiapas']"
8,Helmuth Wiechmann,😂😂😂,,[]
9,patolink....,Huy que mal jeje,huy que mal jeje,"['huy', 'que', 'mal', 'jeje']"
10,Alejandro A. Madrid,😂😂🥰🥰,,[]
11,albertorodriguez4791,Que gran Plagio del tik tok del,que gran plagio del tik tok del,"['que', 'gran', 'plagio', 'del', 'tik', 'tok', 'del']"
12,Francisco Arroyo M,Ni de chiapas es y quiere ser gobernadora🤣 estuvo con peña y ahora es de morena,ni de chiapas es y quiere ser gobernadora estuvo con pea y ahora es de morena,"['ni', 'de', 'chiapas', 'es', 'y', 'quiere', 'ser', 'gobernadora', 'estuvo', 'con', 'pea', 'y', 'ahora', 'es', 'de', 'morena']"
13,Hanabatah,😂😂😂,,[]
14,user3821728218117,"con claudia nooo claro k no, ali empezo ustde mal",con claudia nooo claro k no ali empezo ustde mal,"['con', 'claudia', 'nooo', 'claro', 'k', 'no', 'ali', 'empezo', 'ustde', 'mal']"
15,Ángel Colín,hablando de avaricia 😅😅. veo video marcelo y ahora de...,hablando de avaricia  veo video marcelo y ahora de,"['hablando', 'de', 'avaricia', 'veo', 'video', 'marcelo', 'y', 'ahora', 'de']"
16,Rene Velasco10,solo xk estas preciosa votare xti sasil,solo xk estas preciosa votare xti sasil,"['solo', 'xk', 'estas', 'preciosa', 'votare', 'xti', 'sasil']"
17,wen wen,COMO SIEMPRE QUIERES COLGARTE DE ALGO QUE TU NO HACES😂,como siempre quieres colgarte de algo que tu no haces,"['como', 'siempre', 'quieres', 'colgarte', 'de', 'algo', 'que', 'tu', 'no', 'haces']"
18,wen wen,"por que pones fotos de un evento que no es tuyo, el dia que claudia llegó a sancris ni te dejaron subir al templete porque no estabas invitada",por que pones fotos de un evento que no es tuyo el dia que claudia lleg a sancris ni te dejaron subir al templete porque no estabas invitada,"['por', 'que', 'pones', 'fotos', 'de', 'un', 'evento', 'que', 'no', 'es', 'tuyo', 'el', 'dia', 'que', 'claudia', 'lleg', 'a', 'sancris', 'ni', 'te', 'dejaron', 'subir', 'al', 'templete', 'porque', 'no', 'estabas', 'invitada']"
