,texto,tokens
0,"méxico está listo para tener a la primera presidenta. ¡es tiempo de mujeres! claudia sheinbaum es nuestra coordinadora nacional para la defensa de la cuarta transformación.
¡es un honor estar con la mejor!","['méxico', 'está', 'listo', 'para', 'tener', 'a', 'la', 'primera', 'presidenta', 'es', 'tiempo', 'de', 'mujeres', 'claudia', 'sheinbaum', 'es', 'nuestra', 'coordinadora', 'nacional', 'para', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'es', 'un', 'honor', 'estar', 'con', 'la', 'mejor']"
1,"trabajar por más de una década en favor de las causas de las y los chiapanecos ha sido un enorme privilegio. estos cinco años como la única mujer senadora de la entidad, he recibido el cariño de mi gente y ello me ha inspirado para seguir transformando a chiapas","['trabajar', 'por', 'más', 'de', 'una', 'década', 'en', 'favor', 'de', 'las', 'causas', 'de', 'las', 'y', 'los', 'chiapanecos', 'ha', 'sido', 'un', 'enorme', 'privilegio', 'estos', 'cinco', 'años', 'como', 'la', 'única', 'mujer', 'senadora', 'de', 'la', 'entidad', 'he', 'recibido', 'el', 'cariño', 'de', 'mi', 'gente', 'y', 'ello', 'me', 'ha', 'inspirado', 'para', 'seguir', 'transformando', 'a', 'chiapas']"
2,"¡por la continuidad de la transformación en chiapas!
vamos al llamado histórico e inédito de nuestro movimiento.","['por', 'la', 'continuidad', 'de', 'la', 'transformación', 'en', 'chiapas', 'vamos', 'al', 'llamado', 'histórico', 'e', 'inédito', 'de', 'nuestro', 'movimiento']"
3,| comenzamos la semana dialogando con,"['comenzamos', 'la', 'semana', 'dialogando', 'con']"
4,"cuando me pregunten si me registraré, habrá señales…","['cuando', 'me', 'pregunten', 'si', 'me', 'registraré', 'habrá', 'señales']"
6,¡es tiempo de mujeres!,"['es', 'tiempo', 'de', 'mujeres']"
7,"estuve con las y los jóvenes que participaron en el ""tercer encuentro de autoridades jóvenes"" en ciudad de méxico. me da muchísimo gusto ver que el relevo generacional se ha construido con compromiso y entusiasmo para seguir transformando nuestro querido méxico y chiapas.","['estuve', 'con', 'las', 'y', 'los', 'jóvenes', 'que', 'participaron', 'en', 'el', 'tercer', 'encuentro', 'de', 'autoridades', 'jóvenes', 'en', 'ciudad', 'de', 'méxico', 'me', 'da', 'muchísimo', 'gusto', 'ver', 'que', 'el', 'relevo', 'generacional', 'se', 'ha', 'construido', 'con', 'compromiso', 'y', 'entusiasmo', 'para', 'seguir', 'transformando', 'nuestro', 'querido', 'méxico', 'y', 'chiapas']"
8,hoy en el,"['hoy', 'en', 'el']"
9,"la dra. claudia sheinbaum regresa a nuestro amado estado y estamos muy contentos con su visita, en compañía de toño santos preparamos todo para celebrar su nombramiento como coordinadora de la defensa de la cuarta transformación.","['la', 'dra', 'claudia', 'sheinbaum', 'regresa', 'a', 'nuestro', 'amado', 'estado', 'y', 'estamos', 'muy', 'contentos', 'con', 'su', 'visita', 'en', 'compañía', 'de', 'toño', 'santos', 'preparamos', 'todo', 'para', 'celebrar', 'su', 'nombramiento', 'como', 'coordinadora', 'de', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación']"
10,"en el marco de acciones por el día internacional de la mujer indígena, que en chiapas encabeza el gobernador rutilio escandón cadenas, reconozco la labor disciplinada y amorosa de las mujeres en méxico, particularmente las indígenas de chiapas, mi casa, para el que trabajamos…","['en', 'el', 'marco', 'de', 'acciones', 'por', 'el', 'día', 'internacional', 'de', 'la', 'mujer', 'indígena', 'que', 'en', 'chiapas', 'encabeza', 'el', 'gobernador', 'rutilio', 'escandón', 'cadenas', 'reconozco', 'la', 'labor', 'disciplinada', 'y', 'amorosa', 'de', 'las', 'mujeres', 'en', 'méxico', 'particularmente', 'las', 'indígenas', 'de', 'chiapas', 'mi', 'casa', 'para', 'el', 'que', 'trabajamos']"
11,"lamento profundamente el sensible fallecimiento de mariano rosales, hijo de nuestro amigo, mariano rosales zuarth, mi más sincero pésame a todos sus seres queridos.

que el amor de dios y el cariño de todos quienes conocimos a mariano sirva para encontrar la resignación ante tan…","['lamento', 'profundamente', 'el', 'sensible', 'fallecimiento', 'de', 'mariano', 'rosales', 'hijo', 'de', 'nuestro', 'amigo', 'mariano', 'rosales', 'zuarth', 'mi', 'más', 'sincero', 'pésame', 'a', 'todos', 'sus', 'seres', 'queridos', 'que', 'el', 'amor', 'de', 'dios', 'y', 'el', 'cariño', 'de', 'todos', 'quienes', 'conocimos', 'a', 'mariano', 'sirva', 'para', 'encontrar', 'la', 'resignación', 'ante', 'tan']"
12,"mexicanas, mexicanos: 

¡viva la independencia! 
¡viva miguel hidalgo y costilla!
¡viva josefa ortiz de domínguez! 
¡viva ignacio allende!
¡viva leona vicario!
¡viva josé maría morelos y pavón!
¡viva vicente guerrero!
¡vivan los héroes anónimos!
¡viva la libertad!
¡viva la…","['mexicanas', 'mexicanos', 'viva', 'la', 'independencia', 'viva', 'miguel', 'hidalgo', 'y', 'costilla', 'viva', 'josefa', 'ortiz', 'de', 'domínguez', 'viva', 'ignacio', 'allende', 'viva', 'leona', 'vicario', 'viva', 'josé', 'maría', 'morelos', 'y', 'pavón', 'viva', 'vicente', 'guerrero', 'vivan', 'los', 'héroes', 'anónimos', 'viva', 'la', 'libertad', 'viva', 'la']"
13,20,['20']
14,"con el orgullo de ser mexicanos, acompañamos al gobernador","['con', 'el', 'orgullo', 'de', 'ser', 'mexicanos', 'acompañamos', 'al', 'gobernador']"
15,"hoy y siempre, portemos con dignidad y orgullo los colores y trajes de nuestro méxico. 
¡que vivan nuestras fiestas patrias!","['hoy', 'y', 'siempre', 'portemos', 'con', 'dignidad', 'y', 'orgullo', 'los', 'colores', 'y', 'trajes', 'de', 'nuestro', 'méxico', 'que', 'vivan', 'nuestras', 'fiestas', 'patrias']"
16,"previo a las celebraciones de la noche patria, tuve el gusto de saludar al principal dirigente de la cuarta transformación en nuestro estado, mi amigo el gobernador dr.","['previo', 'a', 'las', 'celebraciones', 'de', 'la', 'noche', 'patria', 'tuve', 'el', 'gusto', 'de', 'saludar', 'al', 'principal', 'dirigente', 'de', 'la', 'cuarta', 'transformación', 'en', 'nuestro', 'estado', 'mi', 'amigo', 'el', 'gobernador', 'dr']"
17,"inauguración de el insurgente, tren interurbano méxico-toluca","['inauguración', 'de', 'el', 'insurgente', 'tren', 'interurbano', 'méxico', 'toluca']"
18,"san cristóbal es una parte fundamental de mi historia, en este pueblo mágico guardo momentos maravillosos como nuestra fiesta de xv años, una celebración muy especial para todas nosotras.","['san', 'cristóbal', 'es', 'una', 'parte', 'fundamental', 'de', 'mi', 'historia', 'en', 'este', 'pueblo', 'mágico', 'guardo', 'momentos', 'maravillosos', 'como', 'nuestra', 'fiesta', 'de', 'xv', 'años', 'una', 'celebración', 'muy', 'especial', 'para', 'todas', 'nosotras']"
19,muchas felicidades a la gobernadora,"['muchas', 'felicidades', 'a', 'la', 'gobernadora']"
20,les comparto la siguiente columna en la que colaboro para,"['les', 'comparto', 'la', 'siguiente', 'columna', 'en', 'la', 'que', 'colaboro', 'para']"
21,mostrar más,"['mostrar', 'más']"
23,¡saludos!,['saludos']
24,la columna de,"['la', 'columna', 'de']"
25,"recibí la constancia que me acredita como coordinadora nacional de los comités para la defensa de la cuarta transformación. 

¡nuestro movimiento está más fuerte que nunca, no hay marcha atrás!","['recibí', 'la', 'constancia', 'que', 'me', 'acredita', 'como', 'coordinadora', 'nacional', 'de', 'los', 'comités', 'para', 'la', 'defensa', 'de', 'la', 'cuarta', 'transformación', 'nuestro', 'movimiento', 'está', 'más', 'fuerte', 'que', 'nunca', 'no', 'hay', 'marcha', 'atrás']"
26,les invito a seguir la transmisión en vivo de la primera reunión del consejo nacional de morena que encabezo como coordinadora nacional de defensa de la transformación. ¡comenzamos!,"['les', 'invito', 'a', 'seguir', 'la', 'transmisión', 'en', 'vivo', 'de', 'la', 'primera', 'reunión', 'del', 'consejo', 'nacional', 'de', 'morena', 'que', 'encabezo', 'como', 'coordinadora', 'nacional', 'de', 'defensa', 'de', 'la', 'transformación', 'comenzamos']"
27,"¡somos un solo movimiento y un mismo sentimiento!
¡somos esperanza que prevalece!
¡somos amor y alegría!
¡que viva la cuarta transformación!","['somos', 'un', 'solo', 'movimiento', 'y', 'un', 'mismo', 'sentimiento', 'somos', 'esperanza', 'que', 'prevalece', 'somos', 'amor', 'y', 'alegría', 'que', 'viva', 'la', 'cuarta', 'transformación']"
28,"gracias a un gran equipo. ahora a trabajar en unidad con todas y todos los que somos parte de la transformación. gracias a los presidentes de morena, partido verde, a gerardo y a citlalli.","['gracias', 'a', 'un', 'gran', 'equipo', 'ahora', 'a', 'trabajar', 'en', 'unidad', 'con', 'todas', 'y', 'todos', 'los', 'que', 'somos', 'parte', 'de', 'la', 'transformación', 'gracias', 'a', 'los', 'presidentes', 'de', 'morena', 'partido', 'verde', 'a', 'gerardo', 'y', 'a', 'citlalli']"
