texto,tokens,emocion
📊 #jalisco2024,['jalisco2024'],approval
"empoderemos a las mujeres en jalisco con un aliado, el dr. carlos lomelí 💜💪🏻 #jalisco","['empoderemos', 'a', 'las', 'mujeres', 'en', 'jalisco', 'con', 'un', 'aliado', 'el', 'dr', 'carlos', 'lomelí', 'jalisco']",approval
el doc #carloslomeli,"['el', 'doc', 'carloslomeli']",neutral
mi hermoso colima #colima,"['mi', 'hermoso', 'colima', 'colima']",admiration
"no se haga, doc #morena","['no', 'se', 'haga', 'doc', 'morena']",caring
¿quienes crees que ganen la candidatura a gobernador de #predicción,"['quienes', 'crees', 'que', 'ganen', 'la', 'candidatura', 'a', 'gobernador', 'de', 'predicción']",curiosity
está tirado en la hamaca en #movimientociudadano,"['está', 'tirado', 'en', 'la', 'hamaca', 'en', 'movimientociudadano']",neutral
no siempre se puede pues. #morenajalisco,"['no', 'siempre', 'se', 'puede', 'pues', 'morenajalisco']",realization
niega @dr. carlos lomelí,"['niega', 'dr', 'carlos', 'lomelí']",neutral
"no sólo será enfrentar a morena y amlo, también al poder económico que han atesorado estos personajes: xóchitl gálvez habla sobre los contratos de carlos lomelí en cdmx. #latinus","['no', 'sólo', 'será', 'enfrentar', 'a', 'morena', 'y', 'amlo', 'también', 'al', 'poder', 'económico', 'que', 'han', 'atesorado', 'estos', 'personajes', 'xóchitl', 'gálvez', 'habla', 'sobre', 'los', 'contratos', 'de', 'carlos', 'lomelí', 'en', 'cdmx', 'latinus']",neutral
"si lo postulan, seria claro un acuerdo con mc para que mantenga ese estado y juegue a favor en la campaña federal. #mexico🇲🇽","['si', 'lo', 'postulan', 'seria', 'claro', 'un', 'acuerdo', 'con', 'mc', 'para', 'que', 'mantenga', 'ese', 'estado', 'y', 'juegue', 'a', 'favor', 'en', 'la', 'campaña', 'federal', 'mexico']",approval
"catando tienditas, el día de hoy le tocó a las deliciosas de lara. 10/10 por nacotas. #fypシ","['catando', 'tienditas', 'el', 'día', 'de', 'hoy', 'le', 'tocó', 'a', 'las', 'deliciosas', 'de', 'lara', '10', '10', 'por', 'nacotas', 'fypシ']",approval
xd 🤣🤣 #humour,"['xd', 'humour']",neutral
"empoderemos a las mujeres en jalisco con un aliado, el dr. carlos lomelí 💜💪🏻 #jalisco","['empoderemos', 'a', 'las', 'mujeres', 'en', 'jalisco', 'con', 'un', 'aliado', 'el', 'dr', 'carlos', 'lomelí', 'jalisco']",approval
"no se haga, doc #morena","['no', 'se', 'haga', 'doc', 'morena']",caring
de doctor a doctora @claudia sheinbaum pardo,"['de', 'doctor', 'a', 'doctora', 'claudia', 'sheinbaum', 'pardo']",neutral
entrevista en #symposium,"['entrevista', 'en', 'symposium']",neutral
entrevista en #symposium,"['entrevista', 'en', 'symposium']",neutral
́xico #esclaudia,"['xico', 'esclaudia']",neutral
niega @dr. carlos lomelí,"['niega', 'dr', 'carlos', 'lomelí']",neutral
"el morenistas y regidor por guadalajara, el dr. carlos lomelí @dr. carlos lomelí","['el', 'morenistas', 'y', 'regidor', 'por', 'guadalajara', 'el', 'dr', 'carlos', 'lomelí', 'dr', 'carlos', 'lomelí']",neutral
el doc #carloslomeli,"['el', 'doc', 'carloslomeli']",neutral
👍💕👌🏼☺️ @drcarloslimon,['drcarloslimon'],neutral
respuesta a @maziel rolque,"['respuesta', 'a', 'maziel', 'rolque']",neutral
mi hermoso colima #colima,"['mi', 'hermoso', 'colima', 'colima']",admiration
recomendadisimo #savvy,"['recomendadisimo', 'savvy']",approval
"mientras movimiento ciudadano y el gobierno dd guadalara quieren más impuestos, en #morena","['mientras', 'movimiento', 'ciudadano', 'y', 'el', 'gobierno', 'dd', 'guadalara', 'quieren', 'más', 'impuestos', 'en', 'morena']",neutral
el éxito es como una obra de arte; su significado es único para cada persona. 💫 🖼️ @carlos lomeli,"['el', 'éxito', 'es', 'como', 'una', 'obra', 'de', 'arte', 'su', 'significado', 'es', 'único', 'para', 'cada', 'persona', 'carlos', 'lomeli']",neutral
tenemos que sacar a movimiento ciudadano de jalisco. #jalisco,"['tenemos', 'que', 'sacar', 'a', 'movimiento', 'ciudadano', 'de', 'jalisco', 'jalisco']",approval
be like @alejandramorale208,"['be', 'like', 'alejandramorale208']",neutral
juro por dios (cover) banda tierra sagrada #purotalentop,"['juro', 'por', 'dios', 'cover', 'banda', 'tierra', 'sagrada', 'purotalentop']",neutral
tenemos que sacar a movimiento ciudadano de jalisco. #jalisco,"['tenemos', 'que', 'sacar', 'a', 'movimiento', 'ciudadano', 'de', 'jalisco', 'jalisco']",approval
be like @alejandramorale208,"['be', 'like', 'alejandramorale208']",neutral
juro por dios (cover) banda tierra sagrada #purotalentop,"['juro', 'por', 'dios', 'cover', 'banda', 'tierra', 'sagrada', 'purotalentop']",neutral
porfavor si tienes problemas para respirar acude con un #otorrino,"['porfavor', 'si', 'tienes', 'problemas', 'para', 'respirar', 'acude', 'con', 'un', 'otorrino']",caring
me gustas al natural #relsb,"['me', 'gustas', 'al', 'natural', 'relsb']",love
circunsición con grapadora vs con láser ¿cómo es cada una? r.s. ce 9112185 une cp 12889324 uanl cofepris: 2319032002a00047 http://urologocarlosguerra.com #menshealth,"['circunsición', 'con', 'grapadora', 'vs', 'con', 'láser', 'cómo', 'es', 'cada', 'una', 'r', 's', 'ce', '9112185', 'une', 'cp', '12889324', 'uanl', 'cofepris', '2319032002a00047', 'http', 'urologocarlosguerra', 'com', 'menshealth']",curiosity
cuidado ⚠️ no es recomendable extraer premolares para la ortodoncia!  -- #maxilofacial,"['cuidado', 'no', 'es', 'recomendable', 'extraer', 'premolares', 'para', 'la', 'ortodoncia', 'maxilofacial']",caring
lipo hd #drsiluetaperfect,"['lipo', 'hd', 'drsiluetaperfect']",neutral
respuesta a @__tussibaby,"['respuesta', 'a', '__tussibaby']",neutral
viendo @la cotorrisa,"['viendo', 'la', 'cotorrisa']",neutral
dr carlos jaramillo #cancer,"['dr', 'carlos', 'jaramillo', 'cancer']",neutral
circunsición con grapadora vs con láser ¿cómo es cada una? r.s. ce 9112185 une cp 12889324 uanl cofepris: 2319032002a00047 http://urologocarlosguerra.com #menshealth,"['circunsición', 'con', 'grapadora', 'vs', 'con', 'láser', 'cómo', 'es', 'cada', 'una', 'r', 's', 'ce', '9112185', 'une', 'cp', '12889324', 'uanl', 'cofepris', '2319032002a00047', 'http', 'urologocarlosguerra', 'com', 'menshealth']",curiosity
cuidado ⚠️ no es recomendable extraer premolares para la ortodoncia!  -- #maxilofacial,"['cuidado', 'no', 'es', 'recomendable', 'extraer', 'premolares', 'para', 'la', 'ortodoncia', 'maxilofacial']",caring
lipo hd #drsiluetaperfect,"['lipo', 'hd', 'drsiluetaperfect']",neutral
respuesta a @__tussibaby,"['respuesta', 'a', '__tussibaby']",neutral
viendo @la cotorrisa,"['viendo', 'la', 'cotorrisa']",neutral
dr carlos jaramillo #cancer,"['dr', 'carlos', 'jaramillo', 'cancer']",neutral
mitos y realidades de la medicina antienvejecimiento parte 1. #antiaging,"['mitos', 'y', 'realidades', 'de', 'la', 'medicina', 'antienvejecimiento', 'parte', '1', 'antiaging']",neutral
🦷 sacar las muelas del juicio no debería tardar más de 5min cada una! #extracciondemuelas,"['sacar', 'las', 'muelas', 'del', 'juicio', 'no', 'debería', 'tardar', 'más', 'de', '5min', 'cada', 'una', 'extracciondemuelas']",neutral
