texto,tokens,emocion
"en jalisco, morena no está para improvisar, no hay más, a construir la transformación de jalisco con el liderazgo de nuestro amigo el doctor carlos lomelí 🇱🇻....","['en', 'jalisco', 'morena', 'no', 'está', 'para', 'improvisar', 'no', 'hay', 'más', 'a', 'construir', 'la', 'transformación', 'de', 'jalisco', 'con', 'el', 'liderazgo', 'de', 'nuestro', 'amigo', 'el', 'doctor', 'carlos', 'lomelí']",neutral
por la coordinación de la defensa de la  en,"['por', 'la', 'coordinación', 'de', 'la', 'defensa', 'de', 'la', 'en']",neutral
la situación de carlos lomelí la resolverá el tribunal de materia administrativahttp://mesaderedaccion.com/la-situacion-de-carlos-lomeli-la-resolvera-el-tribunal-de-materia-administrativa/,"['la', 'situación', 'de', 'carlos', 'lomelí', 'la', 'resolverá', 'el', 'tribunal', 'de', 'materia', 'administrativahttp', 'mesaderedaccion', 'com', 'la', 'situacion', 'de', 'carlos', 'lomeli', 'la', 'resolvera', 'el', 'tribunal', 'de', 'materia', 'administrativa']",neutral
"en nuestra mañanera dimos voz a un grupo de vecinos de diferentes colonias que viven abusos y corrupción por parte de servidores públicos del ayuntamiento de guadalajara.estamos en pie de lucha con ellos, hasta que la dignidad se haga costumbre.","['en', 'nuestra', 'mañanera', 'dimos', 'voz', 'a', 'un', 'grupo', 'de', 'vecinos', 'de', 'diferentes', 'colonias', 'que', 'viven', 'abusos', 'y', 'corrupción', 'por', 'parte', 'de', 'servidores', 'públicos', 'del', 'ayuntamiento', 'de', 'guadalajara', 'estamos', 'en', 'pie', 'de', 'lucha', 'con', 'ellos', 'hasta', 'que', 'la', 'dignidad', 'se', 'haga', 'costumbre']",realization
que esta en juego este 4 de junio en las elecckones del  entre y  ? quienes son las corcholatas de jalisco,"['que', 'esta', 'en', 'juego', 'este', '4', 'de', 'junio', 'en', 'las', 'elecckones', 'del', 'entre', 'y', 'quienes', 'son', 'las', 'corcholatas', 'de', 'jalisco']",curiosity
me siento muy afortunado de conocer y trabajar de la mano con personas tan comprometidas yenfocadas en el bien de nuestra .,"['me', 'siento', 'muy', 'afortunado', 'de', 'conocer', 'y', 'trabajar', 'de', 'la', 'mano', 'con', 'personas', 'tan', 'comprometidas', 'yenfocadas', 'en', 'el', 'bien', 'de', 'nuestra']",approval
creo que en jalisco el 1 de julio tendra gobernador de morena,"['creo', 'que', 'en', 'jalisco', 'el', '1', 'de', 'julio', 'tendra', 'gobernador', 'de', 'morena']",neutral
una fiesta cívica el cierre de campaña en zapopan  presidente  diputado local  diputada federal  gobernador  presidente municipal,"['una', 'fiesta', 'cívica', 'el', 'cierre', 'de', 'campaña', 'en', 'zapopan', 'presidente', 'diputado', 'local', 'diputada', 'federal', 'gobernador', 'presidente', 'municipal']",neutral
prosperando para un mejor zapopan 💪🏻,"['prosperando', 'para', 'un', 'mejor', 'zapopan']",approval
yo y mis gestos de atención en la apertura de campaña de  . foto: alberto.,"['yo', 'y', 'mis', 'gestos', 'de', 'atención', 'en', 'la', 'apertura', 'de', 'campaña', 'de', 'foto', 'alberto']",neutral
sangre zapata !! por que este gallo les canta en su gallinero!,"['sangre', 'zapata', 'por', 'que', 'este', 'gallo', 'les', 'canta', 'en', 'su', 'gallinero']",neutral
"👉estuvimos presentes en la colonia ferrocarril en el poligo las vías.💥colonia abandonada y olvidada por el gobierno municipal y estatal.💥👉la contingencia sanitaria, dejó a muchas familias de esta comunidad  sin trabajo y con esto sin seguridad social, además sin recursos para poder solventar los gastos médicos si se presenta una enfermadad.👉por tal motivo nos comprometimos a apoyar a la comunidad en general y con ello llevaremos a cabo en los próximos días una jornada de salud. 🤝👨‍⚕️🤝gracias al apoyo del dr. carlos lomelí, no están solos y seguimos trabajando!!!🤝","['estuvimos', 'presentes', 'en', 'la', 'colonia', 'ferrocarril', 'en', 'el', 'poligo', 'las', 'vías', 'colonia', 'abandonada', 'y', 'olvidada', 'por', 'el', 'gobierno', 'municipal', 'y', 'estatal', 'la', 'contingencia', 'sanitaria', 'dejó', 'a', 'muchas', 'familias', 'de', 'esta', 'comunidad', 'sin', 'trabajo', 'y', 'con', 'esto', 'sin', 'seguridad', 'social', 'además', 'sin', 'recursos', 'para', 'poder', 'solventar', 'los', 'gastos', 'médicos', 'si', 'se', 'presenta', 'una', 'enfermadad', 'por', 'tal', 'motivo', 'nos', 'comprometimos', 'a', 'apoyar', 'a', 'la', 'comunidad', 'en', 'general', 'y', 'con', 'ello', 'llevaremos', 'a', 'cabo', 'en', 'los', 'próximos', 'días', 'una', 'jornada', 'de', 'salud', 'gracias', 'al', 'apoyo', 'del', 'dr', 'carlos', 'lomelí', 'no', 'están', 'solos', 'y', 'seguimos', 'trabajando']",caring
cierre de campaña en zapopan  presidente  # presidente municipal,"['cierre', 'de', 'campaña', 'en', 'zapopan', 'presidente', 'presidente', 'municipal']",neutral
"parque entregado.col. el vigia, zapopan","['parque', 'entregado', 'col', 'el', 'vigia', 'zapopan']",neutral
"👉con todas la medidas sanitarias, realizamos a través de las asociacion civil  la tradicional posada en la colonia primero de mayo y sus alrededores.☃️🎅🤶🎄🎁🧸☃️🎅🎄nuestro propósito es llevar  y  en tiempos difíciles y sobre todo no perder esta tradición en épocas de sembrina.⛄🎄🎅👉🎅gracias a todos los que se dieron cita.🤝","['con', 'todas', 'la', 'medidas', 'sanitarias', 'realizamos', 'a', 'través', 'de', 'las', 'asociacion', 'civil', 'la', 'tradicional', 'posada', 'en', 'la', 'colonia', 'primero', 'de', 'mayo', 'y', 'sus', 'alrededores', 'nuestro', 'propósito', 'es', 'llevar', 'y', 'en', 'tiempos', 'difíciles', 'y', 'sobre', 'todo', 'no', 'perder', 'esta', 'tradición', 'en', 'épocas', 'de', 'sembrina', 'gracias', 'a', 'todos', 'los', 'que', 'se', 'dieron', 'cita']",approval
morena redobla críticas contra paco sánchez.•••••,"['morena', 'redobla', 'críticas', 'contra', 'paco', 'sánchez']",neutral
"por primera vez, con humildad y valentía,  se someterá a la , asegura  en .el edil de  inició en esta ciudad su gira para respaldar el proyecto de nación bajo la 4t.información en proceso. •••","['por', 'primera', 'vez', 'con', 'humildad', 'y', 'valentía', 'se', 'someterá', 'a', 'la', 'asegura', 'en', 'el', 'edil', 'de', 'inició', 'en', 'esta', 'ciudad', 'su', 'gira', 'para', 'respaldar', 'el', 'proyecto', 'de', 'nación', 'bajo', 'la', '4t', 'información', 'en', 'proceso']",neutral
ayer fue un magnífico día !! cierre de campaña de  y el,"['ayer', 'fue', 'un', 'magnífico', 'día', 'cierre', 'de', 'campaña', 'de', 'y', 'el']",excitement
"🎅lunes 7 de diciembre 2020.🎅👉con todas la medidas sanitarias, realizamos a través de las asociacion civil  la tradicional posada en la colonia nueva santa maria y sus alrededores.☃️🎅🤶🎄🎁🧸☃️🎅🎄nuestro propósito es llevar  y  en tiempos difíciles y sobre todo no perder esta tradición en épocas de sembrina.⛄🎄🎅👉🎅gracias a todos los que se dieron cita.🤝","['lunes', '7', 'de', 'diciembre', '2020', 'con', 'todas', 'la', 'medidas', 'sanitarias', 'realizamos', 'a', 'través', 'de', 'las', 'asociacion', 'civil', 'la', 'tradicional', 'posada', 'en', 'la', 'colonia', 'nueva', 'santa', 'maria', 'y', 'sus', 'alrededores', 'nuestro', 'propósito', 'es', 'llevar', 'y', 'en', 'tiempos', 'difíciles', 'y', 'sobre', 'todo', 'no', 'perder', 'esta', 'tradición', 'en', 'épocas', 'de', 'sembrina', 'gracias', 'a', 'todos', 'los', 'que', 'se', 'dieron', 'cita']",neutral
