,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
0,la encuestadora,"['la', 'encuestadora']","[('la', 'encuestadora')]",[],el encuestadora,['encuestadora'],0.4737554465528978
1,aquí ni pío dicen,"['aquí', 'ni', 'pío', 'dicen']","[('aquí', 'ni'), ('ni', 'pío'), ('pío', 'dicen')]","[('aquí', 'ni', 'pío'), ('ni', 'pío', 'dicen')]",aquí ni pío decir,['pío'],0.004637968203224126
2,4,['4'],[],[],4,[],0.49789225920557484
3,de que sirven la guardia nacional y el ejército de que sirve morena si está llena de priistas,"['de', 'que', 'sirven', 'la', 'guardia', 'nacional', 'y', 'el', 'ejército', 'de', 'que', 'sirve', 'morena', 'si', 'está', 'llena', 'de', 'priistas']","[('de', 'que'), ('que', 'sirven'), ('sirven', 'la'), ('la', 'guardia'), ('guardia', 'nacional'), ('nacional', 'y'), ('y', 'el'), ('el', 'ejército'), ('ejército', 'de'), ('de', 'que'), ('que', 'sirve'), ('sirve', 'morena'), ('morena', 'si'), ('si', 'está'), ('está', 'llena'), ('llena', 'de'), ('de', 'priistas')]","[('de', 'que', 'sirven'), ('que', 'sirven', 'la'), ('sirven', 'la', 'guardia'), ('la', 'guardia', 'nacional'), ('guardia', 'nacional', 'y'), ('nacional', 'y', 'el'), ('y', 'el', 'ejército'), ('el', 'ejército', 'de'), ('ejército', 'de', 'que'), ('de', 'que', 'sirve'), ('que', 'sirve', 'morena'), ('sirve', 'morena', 'si'), ('morena', 'si', 'está'), ('si', 'está', 'llena'), ('está', 'llena', 'de'), ('llena', 'de', 'priistas')]",de que servir el guardia nacional y el ejército de que servir morén si estar lleno de priista,"['servir', 'guardia', 'nacional', 'ejército', 'servir', 'morén', 'lleno', 'priista']",0.0005029337638742219
4,jalisco está con el mejor con el doctor carlos lomelí,"['jalisco', 'está', 'con', 'el', 'mejor', 'con', 'el', 'doctor', 'carlos', 'lomelí']","[('jalisco', 'está'), ('está', 'con'), ('con', 'el'), ('el', 'mejor'), ('mejor', 'con'), ('con', 'el'), ('el', 'doctor'), ('doctor', 'carlos'), ('carlos', 'lomelí')]","[('jalisco', 'está', 'con'), ('está', 'con', 'el'), ('con', 'el', 'mejor'), ('el', 'mejor', 'con'), ('mejor', 'con', 'el'), ('con', 'el', 'doctor'), ('el', 'doctor', 'carlos'), ('doctor', 'carlos', 'lomelí')]",jalisco estar con el mejor con el doctor carlos lomelí,"['jalisco', 'doctor', 'carlos', 'lomelí']",0.845076146751597
5,entrevista con,"['entrevista', 'con']","[('entrevista', 'con')]",[],entrevista con,['entrevista'],0.5017543432377519
7,1,['1'],[],[],1,[],0.49789225920557484
8,puto criminal en monera oye por cierto estás lista para aparecer en el juicio de ovidio si sabes que tú y tu red de corruptos junto con,"['puto', 'criminal', 'en', 'monera', 'oye', 'por', 'cierto', 'estás', 'lista', 'para', 'aparecer', 'en', 'el', 'juicio', 'de', 'ovidio', 'si', 'sabes', 'que', 'tú', 'y', 'tu', 'red', 'de', 'corruptos', 'junto', 'con']","[('puto', 'criminal'), ('criminal', 'en'), ('en', 'monera'), ('monera', 'oye'), ('oye', 'por'), ('por', 'cierto'), ('cierto', 'estás'), ('estás', 'lista'), ('lista', 'para'), ('para', 'aparecer'), ('aparecer', 'en'), ('en', 'el'), ('el', 'juicio'), ('juicio', 'de'), ('de', 'ovidio'), ('ovidio', 'si'), ('si', 'sabes'), ('sabes', 'que'), ('que', 'tú'), ('tú', 'y'), ('y', 'tu'), ('tu', 'red'), ('red', 'de'), ('de', 'corruptos'), ('corruptos', 'junto'), ('junto', 'con')]","[('puto', 'criminal', 'en'), ('criminal', 'en', 'monera'), ('en', 'monera', 'oye'), ('monera', 'oye', 'por'), ('oye', 'por', 'cierto'), ('por', 'cierto', 'estás'), ('cierto', 'estás', 'lista'), ('estás', 'lista', 'para'), ('lista', 'para', 'aparecer'), ('para', 'aparecer', 'en'), ('aparecer', 'en', 'el'), ('en', 'el', 'juicio'), ('el', 'juicio', 'de'), ('juicio', 'de', 'ovidio'), ('de', 'ovidio', 'si'), ('ovidio', 'si', 'sabes'), ('si', 'sabes', 'que'), ('sabes', 'que', 'tú'), ('que', 'tú', 'y'), ('tú', 'y', 'tu'), ('y', 'tu', 'red'), ('tu', 'red', 'de'), ('red', 'de', 'corruptos'), ('de', 'corruptos', 'junto'), ('corruptos', 'junto', 'con')]",puto criminal en monera oir por cierto estás listo para aparecer en el juicio de ovidio si saber que tú y tu red de corrupto junto con,"['puto', 'criminal', 'monera', 'oir', 'estás', 'listo', 'aparecer', 'juicio', 'ovidio', 'red', 'corrupto']",0.0017424250952632146
9,será acaso este mismo proyecto jajajajajajajajajajajaja,"['será', 'acaso', 'este', 'mismo', 'proyecto', 'jajajajajajajajajajajaja']","[('será', 'acaso'), ('acaso', 'este'), ('este', 'mismo'), ('mismo', 'proyecto'), ('proyecto', 'jajajajajajajajajajajaja')]","[('será', 'acaso', 'este'), ('acaso', 'este', 'mismo'), ('este', 'mismo', 'proyecto'), ('mismo', 'proyecto', 'jajajajajajajajajajajaja')]",ser acaso este mismo proyecto jajajajajajajajajajajaja,"['acaso', 'proyecto', 'jajajajajajajajajajajaja']",0.232935065504501
10,o sea que de todo lo que has cobrado en tantos años no has hecho nada porque las mujeres del video solo hablan de lo que podrías hacer y no de lo que has hecho,"['o', 'sea', 'que', 'de', 'todo', 'lo', 'que', 'has', 'cobrado', 'en', 'tantos', 'años', 'no', 'has', 'hecho', 'nada', 'porque', 'las', 'mujeres', 'del', 'video', 'solo', 'hablan', 'de', 'lo', 'que', 'podrías', 'hacer', 'y', 'no', 'de', 'lo', 'que', 'has', 'hecho']","[('o', 'sea'), ('sea', 'que'), ('que', 'de'), ('de', 'todo'), ('todo', 'lo'), ('lo', 'que'), ('que', 'has'), ('has', 'cobrado'), ('cobrado', 'en'), ('en', 'tantos'), ('tantos', 'años'), ('años', 'no'), ('no', 'has'), ('has', 'hecho'), ('hecho', 'nada'), ('nada', 'porque'), ('porque', 'las'), ('las', 'mujeres'), ('mujeres', 'del'), ('del', 'video'), ('video', 'solo'), ('solo', 'hablan'), ('hablan', 'de'), ('de', 'lo'), ('lo', 'que'), ('que', 'podrías'), ('podrías', 'hacer'), ('hacer', 'y'), ('y', 'no'), ('no', 'de'), ('de', 'lo'), ('lo', 'que'), ('que', 'has'), ('has', 'hecho')]","[('o', 'sea', 'que'), ('sea', 'que', 'de'), ('que', 'de', 'todo'), ('de', 'todo', 'lo'), ('todo', 'lo', 'que'), ('lo', 'que', 'has'), ('que', 'has', 'cobrado'), ('has', 'cobrado', 'en'), ('cobrado', 'en', 'tantos'), ('en', 'tantos', 'años'), ('tantos', 'años', 'no'), ('años', 'no', 'has'), ('no', 'has', 'hecho'), ('has', 'hecho', 'nada'), ('hecho', 'nada', 'porque'), ('nada', 'porque', 'las'), ('porque', 'las', 'mujeres'), ('las', 'mujeres', 'del'), ('mujeres', 'del', 'video'), ('del', 'video', 'solo'), ('video', 'solo', 'hablan'), ('solo', 'hablan', 'de'), ('hablan', 'de', 'lo'), ('de', 'lo', 'que'), ('lo', 'que', 'podrías'), ('que', 'podrías', 'hacer'), ('podrías', 'hacer', 'y'), ('hacer', 'y', 'no'), ('y', 'no', 'de'), ('no', 'de', 'lo'), ('de', 'lo', 'que'), ('lo', 'que', 'has'), ('que', 'has', 'hecho')]",o sea que de todo él que haber cobrar en tanto año no haber hacer nada porque el mujer del video solo hablar de él que podrías hacer y no de él que haber hacer,"['cobrar', 'año', 'mujer', 'video', 'hablar', 'podriar']",1.6573819797185652e-10
