,texto,tokens
2,"para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad.agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡les deseo un excelente inicio de semana a todas y todos!","['para', 'ganarse', 'el', 'respeto', 'y', 'la', 'confianza', 'de', 'las', 'personas', 'hay', 'que', 'trabajar', 'con', 'honestidad', 'e', 'integridad', 'agradezco', 'profundamente', 'a', 'todos', 'los', 'que', 'me', 'acompañan', 'en', 'esta', 'ardua', 'labor', 'les', 'deseo', 'un', 'excelente', 'inicio', 'de', 'semana', 'a', 'todas', 'y', 'todos']"
6,"en tepa y todos los altos hay gente trabajadora, buena y dedicada, que con o sin apoyo, han sabido construir una de las regiones más fértiles y productivas de méxico y de toda américa. ¡gracias por recibirme este domingo!","['en', 'tepa', 'y', 'todos', 'los', 'altos', 'hay', 'gente', 'trabajadora', 'buena', 'y', 'dedicada', 'que', 'con', 'o', 'sin', 'apoyo', 'han', 'sabido', 'construir', 'una', 'de', 'las', 'regiones', 'más', 'fértiles', 'y', 'productivas', 'de', 'méxico', 'y', 'de', 'toda', 'américa', 'gracias', 'por', 'recibirme', 'este', 'domingo']"
8,carlosdelvallemx,['carlosdelvallemx']
9,conocer de cerca a la gente y sus historias me motiva y me llena de vida. es un privilegio estar y compartir con ustedes. gracias por inspirarme todos los días.,"['conocer', 'de', 'cerca', 'a', 'la', 'gente', 'y', 'sus', 'historias', 'me', 'motiva', 'y', 'me', 'llena', 'de', 'vida', 'es', 'un', 'privilegio', 'estar', 'y', 'compartir', 'con', 'ustedes', 'gracias', 'por', 'inspirarme', 'todos', 'los', 'días']"
12,"si ustedes están conmigo, ¿quién puede contra nosotros?","['si', 'ustedes', 'están', 'conmigo', 'quién', 'puede', 'contra', 'nosotros']"
14,carlosdelvallemx,['carlosdelvallemx']
15,"unidos por la transformación, comprometidos con la 4t. en jalisco, la unidad se fundamenta en los principios de morena, la organización, la movilización y la suma de todas las voluntades.con nuestras causas y morena por encima de todo, somos invencibles en jalisco.creemos en un méxico y un jalisco más justo y equitativo.","['unidos', 'por', 'la', 'transformación', 'comprometidos', 'con', 'la', '4t', 'en', 'jalisco', 'la', 'unidad', 'se', 'fundamenta', 'en', 'los', 'principios', 'de', 'morena', 'la', 'organización', 'la', 'movilización', 'y', 'la', 'suma', 'de', 'todas', 'las', 'voluntades', 'con', 'nuestras', 'causas', 'y', 'morena', 'por', 'encima', 'de', 'todo', 'somos', 'invencibles', 'en', 'jalisco', 'creemos', 'en', 'un', 'méxico', 'y', 'un', 'jalisco', 'más', 'justo', 'y', 'equitativo']"
18,"hoy celebramos 98 años de la refundación de la universidad de guadalajara , mi alma máter. aquí me forjé como médico y, aún más importante, descubrí el valor de la solidaridad y el compromiso de trabajar por el bienestar de mi gente.la udeg es mucho más que una institución académica; es una conquista que garantiza el derecho a la educación para quienes como yo, somos hijos del pueblo, un faro de conocimiento y un orgullo para jalisco y el país. ¡feliz aniversario, universidad de guadalajara!","['hoy', 'celebramos', '98', 'años', 'de', 'la', 'refundación', 'de', 'la', 'universidad', 'de', 'guadalajara', 'mi', 'alma', 'máter', 'aquí', 'me', 'forjé', 'como', 'médico', 'y', 'aún', 'más', 'importante', 'descubrí', 'el', 'valor', 'de', 'la', 'solidaridad', 'y', 'el', 'compromiso', 'de', 'trabajar', 'por', 'el', 'bienestar', 'de', 'mi', 'gente', 'la', 'udeg', 'es', 'mucho', 'más', 'que', 'una', 'institución', 'académica', 'es', 'una', 'conquista', 'que', 'garantiza', 'el', 'derecho', 'a', 'la', 'educación', 'para', 'quienes', 'como', 'yo', 'somos', 'hijos', 'del', 'pueblo', 'un', 'faro', 'de', 'conocimiento', 'y', 'un', 'orgullo', 'para', 'jalisco', 'y', 'el', 'país', 'feliz', 'aniversario', 'universidad', 'de', 'guadalajara']"
21,gracias a quienes confían en mí: seguiré trabajando para estar a la altura de sus esperanzas. ¡juntas y juntos somos imparables!,"['gracias', 'a', 'quienes', 'confían', 'en', 'mí', 'seguiré', 'trabajando', 'para', 'estar', 'a', 'la', 'altura', 'de', 'sus', 'esperanzas', 'juntas', 'y', 'juntos', 'somos', 'imparables']"
24,"quien cumple su palabra, no tiene miedo del pasado, ni del futuro.","['quien', 'cumple', 'su', 'palabra', 'no', 'tiene', 'miedo', 'del', 'pasado', 'ni', 'del', 'futuro']"
