,texto,tokens
0,la encuestadora,"['la', 'encuestadora']"
1,aquí ni pío dicen.,"['aquí', 'ni', 'pío', 'dicen']"
2,4,['4']
3,de que sirven la guardia nacional y el ejército? de que sirve morena si está llena de priistas?,"['de', 'que', 'sirven', 'la', 'guardia', 'nacional', 'y', 'el', 'ejército', 'de', 'que', 'sirve', 'morena', 'si', 'está', 'llena', 'de', 'priistas']"
4,"jalisco está con el mejor, con el doctor carlos lomelí","['jalisco', 'está', 'con', 'el', 'mejor', 'con', 'el', 'doctor', 'carlos', 'lomelí']"
5,entrevista con,"['entrevista', 'con']"
7,1,['1']
8,"puto criminal en monera.

oye, por cierto... estás lista para aparecer en el juicio de ovidio?

si sabes que tú y tu red de corruptos junto con","['puto', 'criminal', 'en', 'monera', 'oye', 'por', 'cierto', 'estás', 'lista', 'para', 'aparecer', 'en', 'el', 'juicio', 'de', 'ovidio', 'si', 'sabes', 'que', 'tú', 'y', 'tu', 'red', 'de', 'corruptos', 'junto', 'con']"
9,"será acaso este mismo proyecto?

jajajajajajajajajajajaja","['será', 'acaso', 'este', 'mismo', 'proyecto', 'jajajajajajajajajajajaja']"
10,"o sea que de todo lo que has cobrado en tantos años no has hecho nada? porque las mujeres del video solo hablan de lo que ""podrías"" hacer y no de lo que has hecho...","['o', 'sea', 'que', 'de', 'todo', 'lo', 'que', 'has', 'cobrado', 'en', 'tantos', 'años', 'no', 'has', 'hecho', 'nada', 'porque', 'las', 'mujeres', 'del', 'video', 'solo', 'hablan', 'de', 'lo', 'que', 'podrías', 'hacer', 'y', 'no', 'de', 'lo', 'que', 'has', 'hecho']"
11,revisa la cuenta de,"['revisa', 'la', 'cuenta', 'de']"
12,2,['2']
13,ni honesto ni íntegro! pero gracias por participar doc…,"['ni', 'honesto', 'ni', 'íntegro', 'pero', 'gracias', 'por', 'participar', 'doc']"
14,"para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡les deseo un excelente inicio de semana a todas y todos!","['para', 'ganarse', 'el', 'respeto', 'y', 'la', 'confianza', 'de', 'las', 'personas', 'hay', 'que', 'trabajar', 'con', 'honestidad', 'e', 'integridad', 'agradezco', 'profundamente', 'a', 'todos', 'los', 'que', 'me', 'acompañan', 'en', 'esta', 'ardua', 'labor', 'les', 'deseo', 'un', 'excelente', 'inicio', 'de', 'semana', 'a', 'todas', 'y', 'todos']"
15,"para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. agradezco profundamente a todos los que me acompañan en esta ardua labor. ¡les deseo un excelente inicio de semana a todas y todos!","['para', 'ganarse', 'el', 'respeto', 'y', 'la', 'confianza', 'de', 'las', 'personas', 'hay', 'que', 'trabajar', 'con', 'honestidad', 'e', 'integridad', 'agradezco', 'profundamente', 'a', 'todos', 'los', 'que', 'me', 'acompañan', 'en', 'esta', 'ardua', 'labor', 'les', 'deseo', 'un', 'excelente', 'inicio', 'de', 'semana', 'a', 'todas', 'y', 'todos']"
16,el,['el']
17,expliquen porque debilitan el poder judicial mientras empoderan más y más al ejército mexicano.,"['expliquen', 'porque', 'debilitan', 'el', 'poder', 'judicial', 'mientras', 'empoderan', 'más', 'y', 'más', 'al', 'ejército', 'mexicano']"
18,dr lomelí,"['dr', 'lomelí']"
19,"en jalisco, d manera arbitraria y con el objetivo d recaudar dinero a como d lugar, enrique alfaro y sus amigos crearon el negocio d la verificación vehicular

 los precandidatos de morena como","['en', 'jalisco', 'd', 'manera', 'arbitraria', 'y', 'con', 'el', 'objetivo', 'd', 'recaudar', 'dinero', 'a', 'como', 'd', 'lugar', 'enrique', 'alfaro', 'y', 'sus', 'amigos', 'crearon', 'el', 'negocio', 'd', 'la', 'verificación', 'vehicular', 'los', 'precandidatos', 'de', 'morena', 'como']"
20,firmes con el amigo doctor,"['firmes', 'con', 'el', 'amigo', 'doctor']"
21,"paleros, todos van por la lana","['paleros', 'todos', 'van', 'por', 'la', 'lana']"
22,dr carlos lomeli,"['dr', 'carlos', 'lomeli']"
23,2024,['2024']
24,en,['en']
25,jajajajaja pasearte para no trabajar no es conocer jalisco huevon jajajajaja,"['jajajajaja', 'pasearte', 'para', 'no', 'trabajar', 'no', 'es', 'conocer', 'jalisco', 'huevon', 'jajajajaja']"
26,1,['1']
27,"muchas felicidades y mucha suerte juncal, espero que ganes para que le tapes la boca a todos los bots que te atacan!","['muchas', 'felicidades', 'y', 'mucha', 'suerte', 'juncal', 'espero', 'que', 'ganes', 'para', 'que', 'le', 'tapes', 'la', 'boca', 'a', 'todos', 'los', 'bots', 'que', 'te', 'atacan']"
28,alguien se queja de los sobreprecios en adjudicaciones directas?,"['alguien', 'se', 'queja', 'de', 'los', 'sobreprecios', 'en', 'adjudicaciones', 'directas']"
29,.,[]
30,este fin de semana,"['este', 'fin', 'de', 'semana']"
31,clara cárdenas,"['clara', 'cárdenas']"
32,"exacto, todos los candidatos agarraditos del kks.
solos son escoria, bueno, con el kks tambien son escoria, pero escoria ignorada.","['exacto', 'todos', 'los', 'candidatos', 'agarraditos', 'del', 'kks', 'solos', 'son', 'escoria', 'bueno', 'con', 'el', 'kks', 'tambien', 'son', 'escoria', 'pero', 'escoria', 'ignorada']"
33,carlos lomelí: soldado de la cuarta transformación en jalisco.,"['carlos', 'lomelí', 'soldado', 'de', 'la', 'cuarta', 'transformación', 'en', 'jalisco']"
34,"un día si y otro también, diario en jalisco “levantones” y “ejecuciones”","['un', 'día', 'si', 'y', 'otro', 'también', 'diario', 'en', 'jalisco', 'levantones', 'y', 'ejecuciones']"
35,"no pierda su tiempo doctor, va a volver a perder","['no', 'pierda', 'su', 'tiempo', 'doctor', 'va', 'a', 'volver', 'a', 'perder']"
36,el,['el']
37,comprometido con la productiva región de los altos de jalisco,"['comprometido', 'con', 'la', 'productiva', 'región', 'de', 'los', 'altos', 'de', 'jalisco']"
38,pues así así como que mucha lucha con la corrupción no hubo.,"['pues', 'así', 'así', 'como', 'que', 'mucha', 'lucha', 'con', 'la', 'corrupción', 'no', 'hubo']"
39,y el mejor horario para los,"['y', 'el', 'mejor', 'horario', 'para', 'los']"
40,"con liderazgos importantes, militantes y simpatizantes de","['con', 'liderazgos', 'importantes', 'militantes', 'y', 'simpatizantes', 'de']"
