texto,time,comentarios,repost,me gusta,me encanta,me divierte,me importa,me enoja,me asombra,me entristece,reaction_count,texto_ingles,emocion
#EnVivo Conferencia de prensa 30 de octubre,2023-10-30 09:43:31,17,2,34,11.0,,,,,,45,#Envivo Press Conference October 30,neutral
"En todos estos años, he tenido el privilegio de recorrer cada rincón de Jalisco, de conocer a su gente, sus sueños, y sus desafíos. Gracias al esfuerzo y compromiso que hemos tenido, nos hemos ganado el cariño y la amistad de personas maravillosas. ¡Gracias por su confianza!",2023-10-29 19:00:01,27,43,77,15.0,3.0,1.0,,,,96,"In all these years, I have had the privilege of traveling every corner of Jalisco, to meet its people, their dreams, and their challenges. Thanks to the effort and commitment we have had, we have earned the love and friendship of wonderful people. Thank you for your trust!",admiration
Estoy inmensamente feliz de contar con la amistad de la Dra. Claudia Sheinbaum. Su capacidad y honestidad son un faro de esperanza para nuestra lucha.,2023-10-28 19:00:32,13,7,90,18.0,2.0,1.0,1.0,,,112,I am immensely happy to have the friendship of Dr. Claudia Sheinbaum. Its ability and honesty are a lighthouse of hope for our struggle.,joy
"Me siento profundamente orgulloso de ser parte de un movimiento político que promueve la honestidad, porque soy un hombre honesto que trabaja incansablemente por el bienestar de la gente.

Gracias por su confianza y su apoyo para poder defender el proyecto de la #CuartaTransformación en Jalisco.",2023-10-28 13:02:00,51,99,274,46.0,5.0,3.0,,,,328,"I feel deeply proud to be part of a political movement that promotes honesty, because I am an honest man who works tirelessly for the well -being of people.

Thank you for your trust and support to be able to defend the #Cuartatransformation project in Jalisco.",admiration
"Mi compromiso es estar cerca de ustedes. Cada foto representa una historia, un momento compartido. Cada apretón de manos, cada sonrisa, es una razón más que me impulsa a seguir en este camino. Esto lo logramos juntas y juntos.",2023-10-27 16:30:00,14,7,73,14.0,,1.0,,,,88,"My commitment is to be close to you. Each photo represents a story, a shared moment. Each handshake, every smile, is one more reason that drives me to continue on this path. We achieved this together and together.",joy
"Me considero un líder capaz, comprometido y valiente. Alguien que conoce de cerca los desafíos que enfrentamos. Alguien que no retrocede ante las dificultades, por el contrario, las encaro con determinación, porque el cariño de ustedes son el motor que me impulsa a seguir adelante. ¡La unión hace la fuerza!",2023-10-27 13:00:00,16,10,117,22.0,3.0,1.0,,,,143,"I consider myself a capable, committed and brave leader. Someone who knows closely the challenges we face. Someone who does not go back to the difficulties, on the contrary, I take them with determination, because your love is the engine that drives me to move on. Union make force!",admiration
"Agradezco infinitamente el apoyo de quienes como yo, anhelan que la 4T llegue a Jalisco. ¡Vamos juntas y juntos en este sueño!",2023-10-27 08:00:03,44,29,156,32.0,,1.0,1.0,,,190,"I infinitely appreciate the support of those who like me, yearn to get the 4T to Jalisco. Let's go together and together in this dream!",admiration
"En El Salto encontramos amistad, confianza y apoyo para defender juntas y juntos la 4T en Jalisco.

Gracias por estar a nuestro lado, su confianza y cariño son nuestro motor. ¡Hagamos historia en Jalisco",2023-10-26 22:38:56,33,16,195,38.0,4.0,2.0,,,,239,"In the jump we find friendship, trust and support to defend together and together the 4T in Jalisco.

Thank you for being by our side, your trust and affection are our engine. Let's make history in Jalisco",gratitude
"Nuestra solidaridad está con las familias de Acapulco, en especial con quienes han perdido a un ser querido debido al huracán Otis.

En estos momentos difíciles, la unidad y la ayuda son fundamentales. TeVer más invitamos a contribuir y donar lo necesario en los centros de acopio del ISSSTE en Guadalajara para apoyar a las personas afectadas en Acapulco.

Entre todas y todos, podemos marcar la diferencia y brindar el apoyo tan necesario.",2023-10-26 16:08:05,1,4,55,5.0,,1.0,,,,61,"Our solidarity is with Acapulco's families, especially with those who have lost a loved one due to Hurricane Otis.

In these difficult times, unity and help are fundamental. Tever more invite you to contribute and donate what is necessary in the ISSSTE collection centers in Guadalajara to support the people affected in Acapulco.

Among all, we can make a difference and provide so necessary support.",caring
"La honestidad me ha llevado a ganarme el respeto y cariño de las personas. No tomo a la ligera sus palabras, aquí, lo que se promete, ¡se cumple!",2023-10-26 14:00:02,11,74,89,14.0,1.0,,,,,104,"Honesty has led me to win the respect and affection of people. I do not take his words lightly, here, what is promised, is fulfilled!",optimism
"Me llena de felicidad voltear al pasado y recordar mis inicios en Morena, siempre impulsados por la honestidad, el respeto y el compromiso con el pueblo.

¡Gracias a todos quienes me han acompañado en esteVer más camino! Estamos en la recta final de un largo recorrido en el que hemos trabajado mucho, pero estoy convencido de que nos esperan cosas realmente grandes.",2023-10-26 09:00:21,37,19,151,21.0,1.0,2.0,,,,175,"It fills me with happiness to turn to the past and remember my beginnings in Morena, always driven by honesty, respect and commitment to the people.

Thanks to all those who have accompanied me in this more way! We are in the final stretch of a long journey in which we have worked hard, but I am convinced that really great things await us.",gratitude
"Tuve el honor de pasar un momento muy especial en Tlajomulco, donde compartí con cientos de personas las razones por las que aspiro a ser el Coordinador de los Comités de las Defensa de la 4T en Jalisco.

Gracias por su recibimiento y amistad. ¡Juntas y juntos haremos que la transformación llegue a Jalisco!",2023-10-25 22:05:36,17,5,157,20.0,,2.0,1.0,,,180,"I had the honor of spending a very special moment in Tlajomulco, where I shared with hundreds of people the reasons why I aspire to be the coordinator of the 4T defense committees in Jalisco.

Thanks for your reception and friendship. Together and together we will make the transformation reach Jalisco!",gratitude
"Desde inicios de mi carrera, mi objetivo siempre ha sido ayudar a las personas que más lo necesitan. ¡Muchas gracias a quienes me han acompañado en este camino! Todavía falta mucho por recorrer, pero estoy convencido de que vienen cosas muy grandes.",2023-10-25 17:00:02,22,19,146,17.0,,2.0,1.0,,,166,"Since the beginning of my career, my goal has always been to help the people who need it most. Thank you very much to those who have accompanied me on this path! There is still much to go, but I am convinced that very big things come.",gratitude
"Hoy, nuestra compañera María Padilla Romo rindió su segundo informe como Diputada de Jalisco. Quiero expresar mi profunda admiración por sus incansables esfuerzos en la lucha por la igualdad y la justicia social.

María es un ejemplo de valentía y compromiso para todas y todos. ¡Todo nuestro apoyo en tu segundo informe!",2023-10-25 14:52:01,11,10,173,25.0,,3.0,,,,201,"Today, our partner María Padilla Romo gave her second report as deputy of Jalisco. I want to express my deep admiration for its tireless efforts in the struggle for equality and social justice.

Maria is an example of courage and commitment to everyone. All our support in your second report!",admiration
"Hoy, como cada 25 del mes, conmemoramos el Día para generar conciencia y prevenir la violencia contra mujeres y niñas. Es un día para reflexionar sobre nuestras acciones.

Juntas y juntos, hagamos un llamado a la paz y al respeto, ¡hoy y todos los días!",2023-10-25 09:28:25,5,1,60,10.0,,,,,,70,"Today, as every 25 of the month, we commemorate the day to raise awareness and prevent violence against women and girls. It is a day to reflect on our actions.

Together and together, let's call for peace and respect, today and every day!",joy
"Han sido casi 20 años de lucha, esfuerzo y dedicación. Somos tercos, y para lograr una verdadera transformación, se requiere carácter y valentía. Es un honor estar con ustedes y recibir tanto cariño. ¡Esto lo hacemos juntos!",2023-10-24 16:24:17,18,14,109,13.0,,,,,,122,"There have been almost 20 years of struggle, effort and dedication. We are third, and to achieve a true transformation, character and courage is required. It is an honor to be with you and receive so much love. We do this together!",joy
Mi único camino es la honestidad y el amor por nuestra gente.,2023-10-24 10:00:13,36,16,171,23.0,3.0,2.0,,,,199,My only way is honesty and love for our people.,approval
"Para quienes tenemos esta vocación y dedicamos nuestra vida a esta hermosa profesión, sabemos que ser médico va más allá de tener un título; es un compromiso, una promesa de cuidar la salud y el bienestar deVer más las personas.

En este Día del Médico, celebremos la valentía, el compromiso y los valores humanos que cada médico aporta a la sociedad. A todos mis colegas, ¡feliz día!",2023-10-23 13:42:26,17,4,83,13.0,,1.0,,,,97,"For those of us who have this vocation and dedicate our life to this beautiful profession, we know that being a doctor goes beyond having a title; It is a commitment, a promise to take care of health and well -being to more people.

On this doctor's day, let's celebrate the courage, commitment and human values ​​that each doctor brings to society. To all my colleagues, happy day!",admiration
"Estoy seguro que con el apoyo y respaldo de la gente de La Barca y de toda la región de la Ciénaga, lograremos defender a la 4T en Jalisco.

Agradezco la confianza y el cariño. ¡Juntas y juntos lo lograremos!",2023-10-21 21:04:40,20,23,162,24.0,1.0,2.0,,,,189,"I am sure that with the support and support of the people of the boat and the entire Ciénaga region, we will defend the 4T in Jalisco.

I appreciate trust and love. Together and we will achieve it together!",admiration
"¡Nada más jalisciense que una buena birria de La Barca!

Panza llena, corazón contento para seguir recorriendo nuestro estado.",2023-10-21 16:41:58,123,35,383,40.0,31.0,2.0,1.0,,,457,"Nothing more Jalisco than a good birria of the boat!

Full belly, happy heart to continue touring our state.",admiration
Llevo 20 años caminando los senderos de Jalisco y cada día estoy más orgulloso de ser de aquí.,2023-10-21 12:00:01,35,16,127,25.0,,2.0,,,,154,I have been walking the paths of Jalisco for 20 years and every day I am more proud to be from here.,pride
Resolvamos esto de una vez por todas. ¿Cuáles son las mejores tortas ahogadas de Guadalajara?,2023-10-21 07:00:02,310,23,623,63.0,17.0,7.0,1.0,1.0,,712,Let's solve this once and for all. What are the best drowned cakes in Guadalajara?,curiosity
"Hoy, las y los amigos de Zapopan me invitaron a platicar en Tabachines y brindarme su apoyo para ser el Coordinador de los Comités de Defensa de la 4T en Jalisco.

Tenemos muchos años de compartir la lucha porVer más un mejor Jalisco, fue con ellas y ellos con quienes fundamos el obradorismo en Zapopan hace muchos ayeres. ¡Seguimos juntos en este camino!",2023-10-20 21:42:23,24,17,178,36.0,2.0,2.0,,,,218,"Today, Zapopan's friends invited me to talk in Tabachines and provide my support to be the coordinator of the 4T Defense Committees in Jalisco.

We have many years of sharing the fight to take more a better Jalisco, it was with them and they with whom we founded the workshop in Zapopan many Ayeres ago. We continue together on this path!",approval
"Hoy me di una vuelta por el hermoso barrio de Mexicaltzingo para saborear una deliciosa torta ahogada de ""Don José el de la Bicicleta"". ¿Gustan?",2023-10-20 11:31:26,79,34,497,60.0,6.0,2.0,2.0,,,567,"Today I turned around the beautiful neighborhood of Mexicaltzingo to savor a delicious cake drowned by ""Don José el de la Bicycle"". Like?",curiosity
"Profundamente agradecido con el cariño y apoyo que me han brindado hoy en Tlaquepaque, para poder lograr ser el Coordinador de los Comités de la Defensa de la 4T en Jalisco.

¡Amor con amor se paga!",2023-10-19 21:39:10,38,34,198,27.0,1.0,1.0,,,,227,"Deeply grateful to the love and support they have given me today in Tlaquepaque, in order to be able to be the coordinator of the 4T Defense Committees in Jalisco.

Love with love is paid!",gratitude
Las mujeres de México ya han roto el techo de cristal. Quienes militamos en este movimiento seguiremos apoyando su derecho a alcanzar sus aspiraciones y sueños.,2023-10-19 13:00:02,26,9,198,23.0,3.0,5.0,,,,229,The women of Mexico have already broken the glass roof. Those of us who militate in this movement will continue to support their right to achieve their aspirations and dreams.,approval
"En el Día Internacional de la Lucha contra el Cáncer de Mama, como médico y ser humano, quiero unirme a esta causa crucial. Admiro profundamente la valentía de quienes enfrentan esta batalla.
La detecciónVer más temprana es esencial en esta lucha. Invito a todas las jaliscienses a cuidar de su salud y programar revisiones regulares. ¡Y juntos luchamos contra esa enfermedad!",2023-10-19 07:00:00,18,12,147,19.0,,,,,,166,"On the International Day of the Fight against Breast Cancer, as a doctor and human being, I want to join this crucial cause. I deeply admire the courage of those who face this battle.
The earliest detection is essential in this fight. I invite all Jalisco to take care of their health and schedule regular reviews. And together we fight that disease!",admiration
"Quiero agradecer de corazón a la Dra. Claudia Sheinbaum por ser parte de mi libro. Su historia es una inspiración: desde sus días como una estudiante comprometida y una oradora apasionada, hasta su papelVer más crucial en las luchas estudiantiles de los años 70 y 80.

Claudia es un verdadero ejemplo de capacidad y dedicación. Admiro profundamente su liderazgo y su incansable esfuerzo en favor del pueblo. Como bien menciona Arturo Cano en su libro: ¡con personas como Claudia, sabemos que es posible! Sigamos trabajando juntas y juntos para un México mejor.",2023-10-18 20:00:00,25,34,264,87.0,,165.0,,,,516,"I want to thank Dr. Claudia Sheinbaum from the heart for being part of my book. His story is an inspiration: from his days as a committed student and a passionate speaker, to his most crucial role in the student struggles of the 70s and 80s.

Claudia is a real example of capacity and dedication. I deeply admire his leadership and his tireless effort in favor of the people. As Arturo Cano mentions in his book: With people like Claudia, we know it is possible! Let's keep working together and together for a better Mexico.",admiration
"Trabajo todos los días para cumplirle a la gente, que me da el regalo más valioso: su confianza y amistad.",2023-10-18 12:00:03,65,67,314,47.0,5.0,2.0,,,,368,"I work every day to fulfill people, who gives me the most valuable gift: their trust and friendship.",gratitude
Los sonidos de Jalisco enamoran a todo México. ¡Viva Jalisco! ¡Viva el mariachi!,2023-10-17 14:00:00,33,20,258,43.0,2.0,2.0,,,,305,Jalisco's sounds fall in love with all of Mexico. Long live Jalisco! Long live the Mariachi!,neutral
