texto,texto_ingles,emocion
"Aquí estoy, con la cabeza en alto y el corazón encendido, a punto de alcanzar este sueño.      ","Here I am, with my head up and my heart on, about to reach this dream.",neutral
De doctor a doctora @Claudia Sheinbaum Pardo . @Claudia Sheinbaum Pardo . @Claudia Sheinbaum Pardo .,From doctor to doctor @claudia Sheinbaum Pardo. @Claudia Sheinbaum Pardo. @Claudia Sheinbaum Pardo.,neutral
"Con la fuerza de la unidad, ¡estamos listos para ganar con la Dra. Claudia Sheinbaum!  Nadie detendrá la Transformación de Jalisco en 2024.  Nadie detendrá la Transformación de Jalisco en 2024.  Nadie detendrá la Transformación de Jalisco en 2024.","With the force of the unit, we are ready to win with Dr. Claudia Sheinbaum! No one will stop the transformation of Jalisco in 2024. No one will stop the transformation of Jalisco in 2024. No one will stop the transformation of Jalisco in 2024.",excitement
"En #morena hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo. #morena hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo. #morena hemos combatido permanentemente la corrupción de Movimiento Ciudadano. No nos detendremos, así seguiremos porque nosotros actuamos bajo los principios de no mentir, no robar y no traicionar el mandato del pueblo.","In #Morena we have permanently fought the corruption of Citizen Movement. We will not stop, so we will continue because we act under the principles of not lying, not stealing and not betraying the mandate of the people. #MoRena we have permanently fought the corruption of Citizen Movement. We will not stop, so we will continue because we act under the principles of not lying, not stealing and not betraying the mandate of the people. #MoRena we have permanently fought the corruption of Citizen Movement. We will not stop, so we will continue because we act under the principles of not lying, not stealing and not betraying the mandate of the people.",approval
"Mientras Movimiento Ciudadano y el Gobierno dd Guadalara quieren más impuestos, en #morena proponemos servicios médicos municipales gratuitos. #morena proponemos servicios médicos municipales gratuitos. #morena proponemos servicios médicos municipales gratuitos.","While Citizen Movement and the Government DD Guadalara want more taxes, in #Morena we propose free municipal medical services. #Morena we propose free municipal medical services. #Morena we propose free municipal medical services.",neutral
"Caro, malo y vacío el carrusel de Pablo Lemus.  Quiero escuchar sus voces. ¿Están cansados de esta corrupción? ¡Es hora de un cambio real en Guadalajara y en todo Jalisco!  Quiero escuchar sus voces. ¿Están cansados de esta corrupción? ¡Es hora de un cambio real en Guadalajara y en todo Jalisco!  Quiero escuchar sus voces. ¿Están cansados de esta corrupción? ¡Es hora de un cambio real en Guadalajara y en todo Jalisco!","Expensive, bad and empty Pablo Lemus's carousel. I want to listen to their voices. Are they tired of this corruption? It's time for a real change in Guadalajara and Jalisco! I want to listen to their voices. Are they tired of this corruption? It's time for a real change in Guadalajara and Jalisco! I want to listen to their voices. Are they tired of this corruption? It's time for a real change in Guadalajara and Jalisco!",curiosity
"Esperamos que las autoridades investiguen a fondo el desfalco de 330 millones de pesos al erario de Zapopan, durante la administración de Pablo Lemus.      ","We hope that the authorities thoroughly investigate the embezzlement of 330 million pesos to the Zapopan treasury, during the administration of Pablo Lemus.",optimism
"Preocupan los datos del #INEGI , donde muestran a Guadalajara como una de las ciudades más inseguras del país. #INEGI , donde muestran a Guadalajara como una de las ciudades más inseguras del país. #INEGI , donde muestran a Guadalajara como una de las ciudades más inseguras del país.","They concern #inegi data, where they show Guadalajara as one of the most insecure cities in the country. #Inegi, where they show Guadalajara as one of the most insecure cities in the country. #Inegi, where they show Guadalajara as one of the most insecure cities in the country.",neutral
"Las y los ciudadanos de la #ZMG reciben agua sucia que puede dañar su salud. Lo peor es que el gobierno naranja no atiende la situacion, pero sí cobra peso a peso este servicio. #ZMG reciben agua sucia que puede dañar su salud. Lo peor es que el gobierno naranja no atiende la situacion, pero sí cobra peso a peso este servicio. #ZMG reciben agua sucia que puede dañar su salud. Lo peor es que el gobierno naranja no atiende la situacion, pero sí cobra peso a peso este servicio.","The citizens of the #ZMG receive dirty water that can damage their health. The worst thing is that the orange government does not attend the situation, but this service does charge. #Zmg receive dirty water that can damage their health. The worst thing is that the orange government does not attend the situation, but this service does charge. #Zmg receive dirty water that can damage their health. The worst thing is that the orange government does not attend the situation, but this service does charge.",disgust
Ya basta del abuso de poder de Movimiento Ciudadano. La transformación está en camino.      ,Enough of the abuse of the power of the Citizen Movement. The transformation is on the way.,realization
