,texto,emocion
0,Bn día!! Regidor@s ✨,neutral
1,Gracias asu tolerancia Firmeza y transparencia de persona ah llegado a sus sueños para apoyar y trabajar con el pueblo de Guadalajara Dr Carlos Lomelí gracias,gratitude
2,"Vamos apoyar con todo al Dr. Carlos Lomelí
SI PUEDE!!!
VAMOS JALISCO!!!
VAMOS TOMATLAN!!!!!!",caring
3,Saludos cordiales desde cocula jalisco México cuna mundial del mariachi ajua,neutral
4,Buenos días. q la ciudadanía despierte ya MC puro ROBO,neutral
5,Lindo día!! Saludos desde Unión de TVLA! Dra.Candelaria un abrazo... Iniciamos con toda la actitud MORENA LEVANTANDO LA VOZ!!!,joy
6,buen día ojalá toquen el tema de las gruas pero de los operativos fantasmas,optimism
7,Saludos desde Etzatlan Jalisco viva la 4T,neutral
8,Y les pido de que solucionen por favor el agua 💧 porque si está muy sucia y gracias ah ustedes que se encargan de todo esto,caring
9,Esas 🐀🐀🐀🐀 de MC no tienen llenadera 🤮,neutral
10,Buen día 👍💯,caring
11,Buenos días,neutral
12,Vamos con todo Dr. Carlos Lomelí próximo gobernador todo el apoyo del distrito 15 poncitlan,approval
13,Excelente De Carlos Lomeli,admiration
14,mi 🐓🐓🐓🐓🐓 es el doc lomeli con toda la actitud ánimo si se puede saludos desde poncitlan,admiration
15,Usted tiene todo nuestro voto 🗳️ por que sabemos que es el cambio para Jalisco espero y pronto pase por nuestro municipio para poderlo saludar cuquio jalisco aquí lo esperamos,optimism
16,Saludos desde cihuatlan hay le encargo a cihualtan,neutral
17,Excelente!!!,admiration
18,Por Jalisco Dr Lomeli Nuestro Próximo Gobernador,neutral
19,Próximo Gobernador .👍,neutral
20,🙏,neutral
21,El salto con el Dr Carlos Lomeli,neutral
22,Estamos con usted doctor Lomeli gobernador,neutral
23,Todo el apoyo desde Tonalá Dr. Carlos Lomelí Bolaños con el equipo del Regidor Alejandro Buenrostro,neutral
24,Para las y los jovenes este señor es bien tranzas se metio a morena para venir a joder a jalisco es igual que Alfaro no se dejen engañar,neutral
25,"Dr lomelí cuando llegues a la gobernatura ayoda al pueblo con las roboverificació
nes qué impuso Alfaro.
En el 2024vmi voto va por ti",neutral
26,"Demagogia del pasado visitas domiciliarias, promesas y más promesas viejos vicios del pasado, cambien discurso, mejor NO ROBAR
NO MENTIR
NO TRAICIONAR",neutral
27,Todo el apoyo del distrito 19 cd Guzmán Dr. Carlos Lomelí Bolaños,neutral
28,MC TIENE QUE SALIR PARA SIEMPRE DEL GOBIERNO...,neutral
29,Todo el apoyo desde Tonalá Dr. Carlos Lomelí Bolaños con el equipo del Regidor Alejandro Buenrostro,neutral
30,Excelente equipo para una excelente transformación,admiration
31,Que bueno dr. Lomelí que se la lleve bien con la dra.Claudia para que nos vaya mejor en Jalisco.( Para rescatarlo).,caring
32,Vamos por la transformación de jalisco y sus municipios con el Dr. Carlos Lomelí Bolaños,approval
33,Vamos a salvar a Jalisco del Hugo Chávez Alfaro que está en jalisco,neutral
34,DR.LOMELI CUENTE CON TODO EL APOYO DE NUESTRA GENTE Y FAMILIARES VIVA LA 4T.Y MORENA,approval
35,Por un cambio verdadero que necesita Jalisco con el Dr.Carlos Lomelí se logrará,approval
36,"El más cercano al pueblo de Jalisco, el más querido por los jaliscienses, la transformación la coordinará dr Carlos Lomelí y a Jalisco le urge el mejor gobernador de la historia moderna",neutral
37,🙌🏻🙌🏻,approval
38,Eso es todo 😃🤗muchas felicidades doctor👏👏👏💪🙏 Dr. Carlos Lomelí Bolaños en hora buena saludos de Jose Pio Lopez Acero y su servidora Yadira Alejandra Picazo Serna,joy
